date,ym,papua_new_guinea_rnz_body_count,papua_new_guinea_rnz_epu_count,papua_new_guinea_rnz_ratio,papua_new_guinea_png_business_news_body_count,papua_new_guinea_png_business_news_epu_count,papua_new_guinea_png_business_news_ratio,papua_new_guinea_wantok_body_count,papua_new_guinea_wantok_epu_count,papua_new_guinea_wantok_ratio,papua_new_guinea_abc_au_body_count,papua_new_guinea_abc_au_epu_count,papua_new_guinea_abc_au_ratio,papua_new_guinea_post_courier_body_count,papua_new_guinea_post_courier_epu_count,papua_new_guinea_post_courier_ratio,news_total,papua_new_guinea_rnz_weights,papua_new_guinea_png_business_news_weights,papua_new_guinea_wantok_weights,papua_new_guinea_abc_au_weights,papua_new_guinea_post_courier_weights,papua_new_guinea_rnz_z_score,papua_new_guinea_png_business_news_z_score,papua_new_guinea_wantok_z_score,papua_new_guinea_abc_au_z_score,papua_new_guinea_post_courier_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_job
2019-03-01,2019-3,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,328.0,0.0,0.0,420.0,0.20238095238095238,0.0,0.0,0.016666666666666666,0.780952380952381,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,2019-4,101,1.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.125,242.0,0.0,0.0,351.0,0.28774928774928776,0.0,0.0,0.022792022792022793,0.6894586894586895,1.2830802412358937,0.0,,2.2924396210102236,0.0,0.8938799655615293,0.42145476163221385,224.91246026816776,306.3198631417489,224.91246026816776
2019-05-01,2019-5,128,1.0,0.0078125,2.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.09090909090909091,334.0,0.0,0.0,475.0,0.2694736842105263,0.004210526315789474,0.0,0.023157894736842106,0.7031578947368421,1.0124305028501974,0.0,,1.6672288152801629,0.0,0.6699148295325901,0.31143288701664645,166.19847064026712,229.57021837953445,166.19847064026712
2019-06-01,2019-6,112,1.0,0.008928571428571428,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,248.0,0.0,0.0,376.0,0.2978723404255319,0.02127659574468085,0.0,0.02127659574468085,0.6595744680851063,1.157063431828797,0.0,,0.0,0.0,0.2892658579571992,0.3446571924596416,183.92886772712248,99.12726700991333,183.92886772712248
2019-07-01,2019-7,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,292.0,2.0,0.00684931506849315,413.0,0.2711864406779661,0.0,0.0,0.021791767554479417,0.7070217917675545,0.0,0.0,,0.0,8.48528137423857,2.1213203435596424,5.999278840866011,3201.5596613698376,726.9461027810327,3201.5596613698376
2019-08-01,2019-8,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,402.0,0.0,0.0,502.0,0.16334661354581673,0.0,0.0,0.035856573705179286,0.8007968127490039,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,2019-9,67,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,316.0,0.0,0.0,391.0,0.17135549872122763,0.0076726342710997444,0.0,0.01278772378516624,0.8081841432225064,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,2019-10,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,744.0,0.0,0.0,861.0,0.12427409988385599,0.0,0.0,0.011614401858304297,0.8641114982578397,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,2019-11,88,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,500.0,0.0,0.0,601.0,0.1464226289517471,0.008319467554076539,0.0,0.013311148086522463,0.831946755407654,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,2019-12,47,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,461.0,0.0,0.0,522.0,0.09003831417624521,0.017241379310344827,0.0,0.009578544061302681,0.8831417624521073,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,2020-1,69,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,574.0,0.0,0.0,654.0,0.10550458715596331,0.010703363914373088,0.0,0.0061162079510703364,0.8776758409785933,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,2020-2,71,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,392.0,0.0,0.0,471.0,0.15074309978768577,0.004246284501061571,0.0,0.012738853503184714,0.832271762208068,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,2020-3,69,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,318.0,0.0,0.0,391.0,0.17647058823529413,0.0025575447570332483,0.0,0.0076726342710997444,0.8132992327365729,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,2020-4,51,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.2,337.0,0.0,0.0,395.0,0.1291139240506329,0.005063291139240506,0.0,0.012658227848101266,0.8531645569620253,0.0,0.0,,3.667903393616358,0.0,0.9169758484040895,0.04642915688121972,24.77726402209828,314.2344914408926,24.77726402209828
2020-05-01,2020-5,55,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.1111111111111111,336.0,0.0,0.0,407.0,0.13513513513513514,0.0171990171990172,0.0,0.022113022113022112,0.8255528255528255,0.0,0.0,,2.0377241075646433,0.0,0.5094310268911608,0.045060238250815204,24.046730439137146,174.57471746716257,24.046730439137146
2020-06-01,2020-6,80,0.0,0.0,5.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,0.0,224.0,0.0,0.0,331.0,0.24169184290030213,0.015105740181268883,0.0513595166163142,0.015105740181268883,0.676737160120846,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,2020-7,63,1.0,0.015873015873015872,7.0,1.0,0.14285714285714285,33.0,0.0,0.0,8.0,0.0,0.0,169.0,0.0,0.0,280.0,0.225,0.025,0.11785714285714285,0.02857142857142857,0.6035714285714285,2.0570016565845277,3.345271207165183,,0.0,0.0,1.3505682159374277,0.5464571529106483,291.62091375189254,462.8203864147035,291.62091375189254
2020-08-01,2020-8,86,1.0,0.011627906976744186,3.0,1.0,0.3333333333333333,46.0,0.0,0.0,14.0,1.0,0.07142857142857142,142.0,0.0,0.0,291.0,0.29553264604810997,0.010309278350515464,0.15807560137457044,0.048109965635738834,0.4879725085910653,1.5068733065677355,7.80563281671876,,1.3099654977201278,0.0,2.655617905251656,0.5888230920380183,314.2298114751159,910.042225616333,314.2298114751159
2020-09-01,2020-9,71,0.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,5.0,1.0,0.2,144.0,0.0,0.0,242.0,0.29338842975206614,0.004132231404958678,0.08677685950413223,0.02066115702479339,0.5950413223140496,0.0,0.0,,3.667903393616358,0.0,0.9169758484040895,0.07578312796728012,40.44222846582157,314.2344914408926,40.44222846582157
2020-10-01,2020-10,62,0.0,0.0,77.0,3.0,0.03896103896103896,34.0,0.0,0.0,4.0,0.0,0.0,154.0,0.0,0.0,331.0,0.18731117824773413,0.2326283987915408,0.1027190332326284,0.012084592145015106,0.4652567975830816,0.0,0.9123466928632318,,0.0,0.0,0.22808667321580794,0.21223775030353126,113.26225001630085,78.16203653253692,113.26225001630085
2020-11-01,2020-11,76,0.0,0.0,71.0,1.0,0.014084507042253521,45.0,0.0,0.0,9.0,2.0,0.2222222222222222,88.0,0.0,0.0,289.0,0.2629757785467128,0.24567474048442905,0.15570934256055363,0.031141868512110725,0.3044982698961938,0.0,0.3298154711289617,,4.075448215129287,0.0,1.101315921564562,0.20794440272082995,110.97107322695328,377.4051946197962,110.97107322695328
2020-12-01,2020-12,40,2.0,0.05,47.0,1.0,0.02127659574468085,22.0,0.0,0.0,10.0,0.0,0.0,96.0,0.0,0.0,215.0,0.18604651162790697,0.2186046511627907,0.10232558139534884,0.046511627906976744,0.44651162790697674,6.479555218241264,0.49823188191821877,,0.0,0.0,1.7444467750398707,1.3144144519991015,701.4470237950138,597.7969279718646,701.4470237950138
2021-01-01,2021-1,17,0.0,0.0,51.0,2.0,0.0392156862745098,98.0,0.0,0.0,6.0,0.0,0.0,66.0,0.0,0.0,238.0,0.07142857142857142,0.21428571428571427,0.4117647058823529,0.025210084033613446,0.2773109243697479,0.0,0.9183097431433835,,0.0,0.0,0.22957743578584588,0.19678065924501076,105.01345869858706,78.6728995164097,105.01345869858706
2021-02-01,2021-2,44,0.0,0.0,66.0,1.0,0.015151515151515152,59.0,0.0,0.0,7.0,1.0,0.14285714285714285,178.0,0.0,0.0,354.0,0.12429378531073447,0.1864406779661017,0.16666666666666666,0.01977401129943503,0.5028248587570622,0.0,0.3548014916690346,,2.6199309954402556,0.0,0.7436831217773225,0.11795597575773467,62.948081564578196,254.84955571249716,62.948081564578196
2021-03-01,2021-3,72,0.0,0.0,73.0,2.0,0.0273972602739726,70.0,0.0,0.0,26.0,3.0,0.11538461538461539,256.0,0.0,0.0,497.0,0.1448692152917505,0.14688128772635814,0.14084507042253522,0.052313883299798795,0.5150905432595574,0.0,0.6415588616481173,,2.116098111701745,0.0,0.6894142433374656,0.2049343014176216,109.36471033490982,236.25238824369688,109.36471033490982
2021-04-01,2021-4,50,0.0,0.0,70.0,2.0,0.02857142857142857,74.0,1.0,0.013513513513513514,17.0,0.0,0.0,234.0,0.0,0.0,445.0,0.11235955056179775,0.15730337078651685,0.1662921348314607,0.038202247191011236,0.5258426966292135,0.0,0.6690542414330366,,0.0,0.0,0.16726356035825915,0.10524448741643272,56.164501506210605,57.31882679052707,56.164501506210605
2021-05-01,2021-5,39,0.0,0.0,58.0,0.0,0.0,42.0,1.0,0.023809523809523808,5.0,1.0,0.2,174.0,0.0,0.0,318.0,0.12264150943396226,0.18238993710691823,0.1320754716981132,0.015723270440251572,0.5471698113207547,0.0,0.0,,3.667903393616358,0.0,0.9169758484040895,0.05767143700654651,30.77679021612837,314.2344914408926,30.77679021612837
2021-06-01,2021-6,35,3.0,0.08571428571428572,67.0,1.0,0.014925373134328358,66.0,0.0,0.0,6.0,1.0,0.16666666666666666,361.0,0.0,0.0,535.0,0.06542056074766354,0.1252336448598131,0.1233644859813084,0.011214953271028037,0.6747663551401869,11.107808945556451,0.34950594701725796,,3.056586161346965,0.0,3.6284752634801687,0.8047284645097454,429.4493152711305,1243.4265102073812,429.4493152711305
2021-07-01,2021-7,39,0.0,0.0,65.0,0.0,0.0,55.0,0.0,0.0,9.0,1.0,0.1111111111111111,166.0,0.0,0.0,334.0,0.11676646706586827,0.19461077844311378,0.16467065868263472,0.02694610778443114,0.49700598802395207,0.0,0.0,,2.0377241075646433,0.0,0.5094310268911608,0.05490873343737063,29.302452960265928,174.57471746716257,29.302452960265928
2021-08-01,2021-8,30,0.0,0.0,67.0,0.0,0.0,25.0,0.0,0.0,6.0,0.0,0.0,250.0,0.0,0.0,378.0,0.07936507936507936,0.17724867724867724,0.06613756613756613,0.015873015873015872,0.6613756613756614,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01,2021-9,32,0.0,0.0,61.0,1.0,0.01639344262295082,45.0,0.0,0.0,5.0,1.0,0.2,198.0,0.0,0.0,341.0,0.093841642228739,0.17888563049853373,0.13196480938416422,0.01466275659824047,0.5806451612903226,0.0,0.383883581150103,,3.667903393616358,0.0,1.0129467436916153,0.12245283113852809,65.34786180017795,347.1223428780803,65.34786180017795
2021-10-01,2021-10,32,0.0,0.0,58.0,4.0,0.06896551724137931,25.0,0.0,0.0,8.0,0.0,0.0,142.0,0.0,0.0,265.0,0.12075471698113208,0.2188679245283019,0.09433962264150944,0.03018867924528302,0.5358490566037736,0.0,1.6149585138038816,,0.0,0.0,0.4037396284509704,0.35346261811556656,188.62794845482057,138.3557888047205,188.62794845482057
