date,ym,papua_new_guinea_rnz_body_count,papua_new_guinea_rnz_epu_count,papua_new_guinea_rnz_ratio,papua_new_guinea_png_business_news_body_count,papua_new_guinea_png_business_news_epu_count,papua_new_guinea_png_business_news_ratio,papua_new_guinea_wantok_body_count,papua_new_guinea_wantok_epu_count,papua_new_guinea_wantok_ratio,papua_new_guinea_abc_au_body_count,papua_new_guinea_abc_au_epu_count,papua_new_guinea_abc_au_ratio,papua_new_guinea_post_courier_body_count,papua_new_guinea_post_courier_epu_count,papua_new_guinea_post_courier_ratio,news_total,papua_new_guinea_rnz_weights,papua_new_guinea_png_business_news_weights,papua_new_guinea_wantok_weights,papua_new_guinea_abc_au_weights,papua_new_guinea_post_courier_weights,papua_new_guinea_rnz_z_score,papua_new_guinea_png_business_news_z_score,papua_new_guinea_wantok_z_score,papua_new_guinea_abc_au_z_score,papua_new_guinea_post_courier_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
2018-12-01,2018-12,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,258.0,2.0,0.007751937984496124,333.0,0.21021021021021022,0.0,0.0,0.015015015015015015,0.7747747747747747,0.0,0.0,0.0,0.0,3.8235727527819594,0.7647145505563919,2.962407718371608,491.1063312600997,146.50443285114613
2019-01-01,2019-1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.2,393.0,2.0,0.005089058524173028,498.0,0.20080321285140562,0.0,0.0,0.010040160642570281,0.7891566265060241,0.0,0.0,0.0,2.2191552624646347,2.510131730833958,0.9458573986597185,2.003167764116604,332.08405630085423,181.20787900253748
2019-02-01,2019-2,101,4.0,0.039603960396039604,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.07142857142857142,286.0,0.0,0.0,401.0,0.2518703241895262,0.0,0.0,0.034912718204488775,0.713216957605985,3.348033235279192,0.0,0.0,0.7925554508802266,0.0,0.8281177372318836,0.8709404814850913,144.38403665892477,158.6512501153003
2019-03-01,2019-3,85,1.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.14285714285714285,328.0,0.0,0.0,420.0,0.20238095238095238,0.0,0.0,0.016666666666666666,0.780952380952381,0.994562814009407,0.0,0.0,1.5851109017604532,0.0,0.515934743153972,0.2276990845312447,37.747829693372246,98.8430609552008
2019-04-01,2019-4,101,2.0,0.019801980198019802,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.125,242.0,0.0,0.0,351.0,0.28774928774928776,0.0,0.0,0.022792022792022793,0.6894586894586895,1.674016617639596,0.0,0.0,1.3869720390403966,0.0,0.6121977313359985,0.5133089877319725,85.09608323139744,117.28517700739744
2019-05-01,2019-5,128,2.0,0.015625,2.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.18181818181818182,334.0,0.0,0.0,475.0,0.2694736842105263,0.004210526315789474,0.0,0.023157894736842106,0.7031578947368421,1.3209037373562438,0.0,0.0,2.0174138749678496,0.0,0.6676635224648187,0.4026678547499906,66.75405672091091,127.91134368103485
2019-06-01,2019-6,112,1.0,0.008928571428571428,8.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.125,248.0,0.0,0.0,376.0,0.2978723404255319,0.02127659574468085,0.0,0.02127659574468085,0.6595744680851063,0.7548021356321393,0.0,0.0,1.3869720390403966,0.0,0.42835483493450716,0.2543447220827733,42.165128912809415,82.06445412273939
2019-07-01,2019-7,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,292.0,2.0,0.00684931506849315,413.0,0.2711864406779661,0.0,0.0,0.021791767554479417,0.7070217917675545,0.0,0.0,0.0,0.0,3.378362226773101,0.6756724453546201,2.388575714812943,395.97677556807065,129.44569751916336
2019-08-01,2019-8,82,1.0,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,402.0,0.0,0.0,502.0,0.16334661354581673,0.0,0.0,0.035856573705179286,0.8007968127490039,1.0309492584243853,0.0,0.0,0.0,0.0,0.20618985168487708,0.1684020701011944,27.91760307371347,39.501964829590705
2019-09-01,2019-9,67,1.0,0.014925373134328358,3.0,1.0,0.3333333333333333,0.0,0.0,0.0,5.0,0.0,0.0,316.0,0.0,0.0,391.0,0.17135549872122763,0.0076726342710997444,0.0,0.01278772378516624,0.8081841432225064,1.2617587938925312,3.766875950623783,0.0,0.0,0.0,1.0057269489032628,0.2451111689070868,40.63439551764426,192.67772026173927
2019-10-01,2019-10,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,744.0,0.0,0.0,861.0,0.12427409988385599,0.0,0.0,0.011614401858304297,0.8641114982578397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,2019-11,88,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.125,500.0,0.0,0.0,601.0,0.1464226289517471,0.008319467554076539,0.0,0.013311148086522463,0.831946755407654,0.0,0.0,0.0,1.3869720390403966,0.0,0.27739440780807934,0.018462190203532732,3.060651794030247,53.1433727296462
2019-12-01,2019-12,47,2.0,0.0425531914893617,9.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.2,461.0,0.0,0.0,522.0,0.09003831417624521,0.017241379310344827,0.0,0.009578544061302681,0.8831417624521073,3.5973548591829614,0.0,0.0,2.2191552624646347,0.0,1.1633020243295191,0.34515604347494705,57.21978010387069,222.86603960260146
2020-01-01,2020-1,69,0.0,0.0,7.0,1.0,0.14285714285714285,0.0,0.0,0.0,4.0,0.0,0.0,574.0,0.0,0.0,654.0,0.10550458715596331,0.010703363914373088,0.0,0.0061162079510703364,0.8776758409785933,0.0,1.6143754074101928,0.0,0.0,0.0,0.3228750814820386,0.01727924747992561,2.864544196322237,61.85658512693025
2020-02-01,2020-2,71,1.0,0.014084507042253521,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,392.0,0.0,0.0,471.0,0.15074309978768577,0.004246284501061571,0.0,0.012738853503184714,0.832271762208068,1.1906737914197127,0.0,0.0,0.0,0.0,0.23813475828394254,0.17948585815456392,29.755067394913297,45.621987549668134
2020-03-01,2020-3,69,2.0,0.028985507246376812,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.3333333333333333,318.0,0.0,0.0,391.0,0.17647058823529413,0.0025575447570332483,0.0,0.0076726342710997444,0.8132992327365729,2.450372150457959,0.0,0.0,3.6985921041077243,0.0,1.2297928509131366,0.46079655931949454,76.39060157089642,235.60438861315615
2020-04-01,2020-4,51,1.0,0.0196078431372549,2.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,0.2,337.0,0.0,0.0,395.0,0.1291139240506329,0.005063291139240506,0.0,0.012658227848101266,0.8531645569620253,1.6576046900156785,5.650313925935675,0.0,2.2191552624646347,0.0,1.9054147756831976,0.27071960343036483,44.87974778635717,365.0404073710317
2020-05-01,2020-5,55,0.0,0.0,7.0,1.0,0.14285714285714285,0.0,0.0,0.0,9.0,2.0,0.2222222222222222,336.0,0.0,0.0,407.0,0.13513513513513514,0.0171990171990172,0.0,0.022113022113022112,0.8255528255528255,0.0,1.6143754074101928,0.0,2.4657280694051495,0.0,0.8160206953630684,0.08229036972117369,13.642052483585012,156.33369220185682
2020-06-01,2020-6,80,0.0,0.0,5.0,0.0,0.0,17.0,0.0,0.0,5.0,1.0,0.2,224.0,0.0,0.0,331.0,0.24169184290030213,0.015105740181268883,0.0513595166163142,0.015105740181268883,0.676737160120846,0.0,0.0,0.0,2.2191552624646347,0.0,0.4438310524929269,0.03352198281668633,5.55725597647184,85.02939636743392
2020-07-01,2020-7,63,1.0,0.015873015873015872,7.0,2.0,0.2857142857142857,33.0,0.0,0.0,8.0,1.0,0.125,169.0,0.0,0.0,280.0,0.225,0.025,0.11785714285714285,0.02857142857142857,0.6035714285714285,1.3418704633460252,3.2287508148203856,0.0,1.3869720390403966,0.0,1.1915186634413615,0.42226739716737666,70.00325814287795,228.27179879345013
2020-08-01,2020-8,86,1.0,0.011627906976744186,3.0,1.0,0.3333333333333333,46.0,2.0,0.043478260869565216,14.0,2.0,0.14285714285714285,142.0,0.0,0.0,291.0,0.29553264604810997,0.010309278350515464,0.15807560137457044,0.048109965635738834,0.4879725085910653,0.9829981301255767,3.766875950623783,2.4095248469779302,1.5851109017604532,0.0,1.7489019658975486,0.7864885313687356,130.38363855970482,335.0555974639853
2020-09-01,2020-9,71,2.0,0.028169014084507043,1.0,0.0,0.0,21.0,1.0,0.047619047619047616,5.0,2.0,0.4,144.0,0.0,0.0,242.0,0.29338842975206614,0.004132231404958678,0.08677685950413223,0.02066115702479339,0.5950413223140496,2.3813475828394255,0.0,2.6390034038329713,4.438310524929269,0.0,1.891732302320333,1.0193648863088345,168.98975330974423,362.41911162274374
2020-10-01,2020-10,62,1.0,0.016129032258064516,77.0,4.0,0.05194805194805195,34.0,3.0,0.08823529411764706,4.0,1.0,0.25,154.0,0.0,0.0,331.0,0.18731117824773413,0.2326283987915408,0.1027190332326284,0.012084592145015106,0.4652567975830816,1.3635135353354773,0.5870456026946156,4.889918071808153,2.773944078080793,0.0,1.9228842575838079,0.9277744451724633,153.80594007363015,368.3872202912123
2020-11-01,2020-11,76,1.0,0.013157894736842105,71.0,4.0,0.056338028169014086,45.0,5.0,0.1111111111111111,9.0,3.0,0.3333333333333333,88.0,0.0,0.0,289.0,0.2629757785467128,0.24567474048442905,0.15570934256055363,0.031141868512110725,0.3044982698961938,1.1123399893526262,0.6366550902462733,6.1576746089436,3.6985921041077243,0.0,2.3210523585300447,1.522917082829469,252.4683610306117,444.6684833665704
2020-12-01,2020-12,40,2.0,0.05,47.0,4.0,0.0851063829787234,22.0,0.0,0.0,10.0,1.0,0.1,96.0,0.0,0.0,215.0,0.18604651162790697,0.2186046511627907,0.10232558139534884,0.046511627906976744,0.44651162790697674,4.22689195953998,0.9617555618613914,0.0,1.1095776312323173,0.0,1.259645030526738,1.0482510051228269,173.7784782874394,241.3234855500186
2021-01-01,2021-1,17,0.0,0.0,51.0,2.0,0.0392156862745098,98.0,3.0,0.030612244897959183,6.0,1.0,0.16666666666666666,66.0,0.0,0.0,238.0,0.07142857142857142,0.21428571428571427,0.4117647058823529,0.025210084033613446,0.2773109243697479,0.0,0.4431618765439745,1.6965021881783386,1.8492960520538622,0.0,0.797792023355235,0.8401438926787522,139.27859501083162,152.84143322470757
2021-02-01,2021-2,44,0.0,0.0,66.0,1.0,0.015151515151515152,59.0,2.0,0.03389830508474576,7.0,2.0,0.2857142857142857,178.0,0.0,0.0,354.0,0.12429378531073447,0.1864406779661017,0.16666666666666666,0.01977401129943503,0.5028248587570622,0.0,0.1712216341192629,1.8786125925590642,3.1702218035209064,0.0,1.0440112060398465,0.4077127780720409,67.5904013499151,200.01223923335002
2021-03-01,2021-3,72,0.0,0.0,73.0,3.0,0.0410958904109589,70.0,2.0,0.02857142857142857,26.0,4.0,0.15384615384615385,256.0,0.0,0.0,497.0,0.1448692152917505,0.14688128772635814,0.14084507042253522,0.052313883299798795,0.5150905432595574,0.0,0.46440936377553493,1.5834020422997828,1.7070425095881805,0.0,0.7509707831326996,0.38052944017282003,63.08396246093318,143.8713943530803
