date,ym,cambodia_khmer_times_body_count,cambodia_khmer_times_epu_count,cambodia_khmer_times_ratio,cambodia_kampuchea_thmey_daily_body_count,cambodia_kampuchea_thmey_daily_epu_count,cambodia_kampuchea_thmey_daily_ratio,news_total,cambodia_khmer_times_weights,cambodia_kampuchea_thmey_daily_weights,cambodia_khmer_times_z_score,cambodia_kampuchea_thmey_daily_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2020-12-01,2020-12,485.0,10.0,0.020618556701030927,1225.0,0.0,0.0,1710.0,0.28362573099415206,0.716374269005848,2.449525817762854,,2.449525817762854,0.6947485506520376,70.32834447205038,281.69795581464155,70.32834447205038
2021-01-01,2021-1,479.0,5.0,0.010438413361169102,1037.0,0.0,0.0,1516.0,0.3159630606860158,0.6840369393139841,1.2401044066962255,,1.2401044066962255,0.39182718390995513,39.66407290475136,142.6132657307945,39.66407290475136
2021-02-01,2021-2,498.0,8.0,0.01606425702811245,1019.0,0.0,0.0,1517.0,0.32827949901120634,0.6717205009887937,1.908465898176681,,1.908465898176681,0.6265102289334128,63.42068242436711,219.47551577526286,63.42068242436711
2021-03-01,2021-3,747.0,13.0,0.01740294511378849,1422.0,0.0,0.0,2169.0,0.34439834024896265,0.6556016597510373,2.0675047230247383,,2.0675047230247383,0.7120451950666111,72.07925761243338,237.76514208986814,72.07925761243338
2021-04-01,2021-4,1045.0,16.0,0.015311004784688996,1322.0,0.0,0.0,2367.0,0.44148711449091677,0.5585128855090832,1.8189780235253346,,1.8189780235253346,0.8030553589285908,81.29207878138142,209.18431934178165,81.29207878138142
2021-05-01,2021-5,1033.0,16.0,0.015488867376573089,1075.0,0.0,0.0,2108.0,0.49003795066413663,0.5099620493358634,1.8401084555507983,,1.8401084555507983,0.9017229765578627,91.2800524077466,211.61434047643934,91.2800524077466
2021-06-01,2021-6,1246.0,11.0,0.00882825040128411,1335.0,0.0,0.0,2581.0,0.4827586206896552,0.5172413793103449,1.048813823255604,,1.048813823255604,0.5063239146751192,51.25440370086275,120.61465443588382,51.25440370086275
2021-07-01,2021-7,1415.0,13.0,0.009187279151943463,1338.0,0.0,0.0,2753.0,0.5139847439157283,0.4860152560842717,1.0914671576674766,,1.0914671576674766,0.5609974675261459,56.78892472261824,125.51983119514593,56.78892472261824
2021-08-01,2021-8,1258.0,6.0,0.0047694753577106515,1296.0,0.0,0.0,2554.0,0.4925606891151135,0.5074393108848865,0.5666232217559543,,0.5666232217559543,0.2790963245767386,28.25249860153629,65.16224574090674,28.25249860153629
2021-09-01,2021-9,1106.0,8.0,0.007233273056057866,1279.0,1.0,0.0007818608287724785,2385.0,0.46373165618448636,0.5362683438155136,0.8593273212404948,,0.8593273212404948,0.3984972818834328,40.33927682925153,98.82351433642035,40.33927682925153
2021-10-01,2021-10,1009.0,11.0,0.010901883052527254,939.0,0.0,0.0,1948.0,0.5179671457905544,0.4820328542094456,1.2951655339707457,,1.2951655339707457,0.6708531949571265,67.9094537740897,148.94535126571978,67.9094537740897
