date,ym,cambodia_khmer_times_body_count,cambodia_khmer_times_epu_count,cambodia_khmer_times_ratio,cambodia_kampuchea_thmey_daily_body_count,cambodia_kampuchea_thmey_daily_epu_count,cambodia_kampuchea_thmey_daily_ratio,news_total,cambodia_khmer_times_weights,cambodia_kampuchea_thmey_daily_weights,cambodia_khmer_times_z_score,cambodia_kampuchea_thmey_daily_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
2023-05-01,2023-5,926.0,14.0,0.01511879049676026,658.0,3.0,0.004559270516717325,1584.0,0.5845959595959596,0.4154040404040404,1.0197146367436392,2.047784177754785,1.5337494072492122,1.4467788778959965,107.38621413423643,244.56120318337466
2023-06-01,2023-6,956.0,12.0,0.012552301255230125,734.0,4.0,0.005449591280653951,1690.0,0.565680473372781,0.43431952662721895,0.8466130486771757,2.4476693714126223,1.647141210044899,1.5419830728711506,114.45268311873485,262.6418854589631
2023-07-01,2023-7,1016.0,6.0,0.005905511811023622,715.0,6.0,0.008391608391608392,1731.0,0.5869439630271519,0.41305603697284804,0.39830810754693896,3.7690685005948215,2.08368830407088,1.7906210370843367,132.90767307941715,332.25070294674214
2023-08-01,2023-8,1002.0,15.0,0.014970059880239521,764.0,5.0,0.006544502617801047,1766.0,0.5673839184597962,0.43261608154020387,1.0096832267157934,2.9394458747003678,1.9745645507080805,1.8445295817895278,136.9089994837641,314.8505746779683
2023-09-01,2023-9,910.0,10.0,0.01098901098901099,917.0,5.0,0.0054525627044711015,1827.0,0.49808429118773945,0.5019157088122606,0.7411740609298352,2.4490039784853663,1.5950890197076006,1.598360724530504,118.63727736874293,254.34199876492295
2023-10-01,2023-10,886.0,10.0,0.011286681715575621,871.0,4.0,0.004592422502870264,1757.0,0.504268639726807,0.4957313602731929,0.7612510106615687,2.062674303808111,1.4119626572348398,1.4064073500643226,104.38966393648737,225.14191997157144
2023-11-01,2023-11,870.0,21.0,0.02413793103448276,814.0,10.0,0.012285012285012284,1684.0,0.5166270783847982,0.4833729216152019,1.6280271614217412,5.517780462582508,3.572903812002125,3.5082285789661976,260.3959673233453,569.7108347633263
2023-12-01,2023-12,862.0,17.0,0.019721577726218097,756.0,10.0,0.013227513227513227,1618.0,0.5327564894932015,0.4672435105067985,1.3301580884668849,5.941102244103389,3.6356301662851367,3.484591822497291,258.6415445636627,579.7127507231656
2024-01-01,2024-1,967.0,14.0,0.014477766287487074,874.0,12.0,0.013729977116704805,1841.0,0.5252580119500272,0.47474198804997286,0.976479579756577,6.166782558181458,3.5716310689690176,3.4405343343157004,255.3714063743595,569.5078918535858
2024-02-01,2024-2,916.0,12.0,0.013100436681222707,752.0,4.0,0.005319148936170213,1668.0,0.5491606714628298,0.45083932853717024,0.8835830508028165,2.389081540713916,1.6363322957583661,1.5623209791080601,115.96225088169177,260.9183698243188
2024-03-01,2024-3,930.0,8.0,0.008602150537634409,698.0,3.0,0.004297994269340974,1628.0,0.5712530712530712,0.42874692874692877,0.5801878670504516,1.9304326489436228,1.2553102579970372,1.1591011703437153,86.03352480704523,200.1631985076326
2024-04-01,2024-4,863.0,13.0,0.015063731170336037,673.0,2.0,0.0029717682020802376,1536.0,0.5618489583333334,0.4381510416666667,1.0160010591888702,1.3347617523156499,1.17538140575226,1.1556663889247574,85.77858040704339,187.4182897359269
2024-05-01,2024-5,897.0,7.0,0.007803790412486065,723.0,8.0,0.011065006915629323,1620.0,0.5537037037037037,0.4462962962962963,0.5263409997907524,4.969818308760345,2.748079654275549,2.5094484654605154,186.2621679013383,438.19000908287114
2024-06-01,2024-6,914.0,18.0,0.019693654266958426,712.0,5.0,0.007022471910112359,1626.0,0.5621156211562116,0.43788437884378845,1.3282747393906673,3.154124505998709,2.241199622694688,2.127785830303906,157.93350891125942,357.3663818285527
2024-07-01,2024-7,942.0,15.0,0.01592356687898089,820.0,5.0,0.006097560975609756,1762.0,0.5346197502837684,0.46538024971623154,1.07399426026457,2.7387032295988796,1.9063487449317247,1.8487169361182212,137.21980311482827,303.97334828235404
2024-08-01,2024-8,905.0,19.0,0.020994475138121547,809.0,5.0,0.006180469715698393,1714.0,0.5280046674445741,0.4719953325554259,1.4160109959642928,2.775941468814686,2.0959762323894893,2.057891831749572,152.7456726702653,334.2100520555512
2024-09-01,2024-9,897.0,21.0,0.023411371237458192,809.0,5.0,0.006180469715698393,1706.0,0.5257913247362251,0.4742086752637749,1.5790229993722573,2.775941468814686,2.1774822340934716,2.1466121211652966,159.33087801353358,347.2064423062522
2024-10-01,2024-10,917.0,24.0,0.026172300981461286,750.0,4.0,0.005333333333333333,1667.0,0.5500899820035993,0.44991001799640074,1.765238984809989,2.395452424822486,2.0803457048162377,2.0487783249475853,152.0692285999902,331.7177149034468
2024-11-01,2024-11,903.0,16.0,0.017718715393133997,784.0,2.0,0.002551020408163265,1687.0,0.5352697095435685,0.46473029045643155,1.1950713540574085,1.1457840042199392,1.1704276791386738,1.1721660296516137,87.00325542774101,186.62840232985258
2024-12-01,2024-12,955.0,13.0,0.013612565445026177,766.0,5.0,0.006527415143603133,1721.0,0.5549099360836722,0.4450900639163277,0.9181245173612512,2.931771081293839,1.9249477993275452,1.8143785952069003,134.67106226268083,306.93902644308616
2025-01-01,2025-1,932.0,14.0,0.015021459227467811,837.0,3.0,0.0035842293906810036,1769.0,0.5268513284341436,0.47314867156585644,1.0131499502409977,1.6098470596925312,1.3114985049667645,1.2954763949051773,96.15588648311504,209.12259253819101
2025-02-01,2025-2,879.0,28.0,0.03185437997724687,857.0,4.0,0.004667444574095682,1736.0,0.506336405529954,0.4936635944700461,2.148477255118566,2.096370266764136,2.122423760941351,2.1227539319505095,157.5600195533934,338.427194290977
2025-03-01,2025-3,973.0,22.0,0.022610483042137718,899.0,5.0,0.0055617352614015575,1872.0,0.5197649572649573,0.48023504273504275,1.5250056217693009,2.4980385409022037,2.011522081335752,1.992290127271694,147.87642914434568,320.74357004883547
2025-04-01,2025-4,860.0,20.0,0.023255813953488372,746.0,4.0,0.005361930294906166,1606.0,0.5354919053549191,0.46450809464508097,1.5685311522003487,2.4082966737491485,1.9884139129747487,1.9586090345636142,145.37647210938755,317.0588993777206
2025-05-01,2025-5,884.0,27.0,0.030542986425339366,833.0,4.0,0.004801920768307323,1717.0,0.5148514851485149,0.48514851485148514,2.060027904643218,2.1567698902963564,2.108398897469787,2.1069621353066217,156.3878837959022,336.19088536796994
2025-06-01,2025-6,1048.0,32.0,0.030534351145038167,830.0,5.0,0.006024096385542169,1878.0,0.5580404685835996,0.44195953141640043,2.05944548227832,2.705706805145881,2.3825761437121002,2.3450668337054106,174.0610490039847,379.9093161035258
2025-07-01,2025-7,1262.0,32.0,0.025356576862123614,848.0,1.0,0.0011792452830188679,2110.0,0.5981042654028436,0.4018957345971564,1.7102209710203486,0.5296548698752549,1.1199379204478017,1.2357564905601404,91.72321571769814,178.5776503129218
2025-08-01,2025-8,1090.0,12.0,0.011009174311926606,775.0,2.0,0.0025806451612903226,1865.0,0.5844504021447721,0.4155495978552279,0.742534013335211,1.1590898829786225,0.9508119481569167,0.9156336374497653,67.96230672283745,151.6099780989848
2025-09-01,2025-9,879.0,20.0,0.022753128555176336,642.0,0.0,0.0,1521.0,0.5779092702169625,0.42209072978303747,1.5346266107989759,0.0,0.7673133053994879,0.8868749447023667,65.82771159930063,122.35053803454852
2025-10-01,2025-10,1025.0,24.0,0.023414634146341463,726.0,1.0,0.0013774104683195593,1751.0,0.5853797829811537,0.4146202170188464,1.579243072264156,0.6186602336834934,1.0989516529738248,1.1809660072672623,87.65642799961655,175.2313234621953
2025-11-01,2025-11,902.0,20.0,0.022172949002217297,628.0,3.0,0.004777070063694267,1530.0,0.5895424836601307,0.41045751633986927,1.495495333583481,2.1456082626793767,1.820551798131429,1.76233907180062,130.8084627394715,290.29275323875254
2025-12-01,2025-12,1236.0,23.0,0.0186084142394822,722.0,3.0,0.004155124653739612,1958.0,0.6312563840653729,0.3687436159346272,1.255078729390085,1.8662631426075467,1.5606709359988158,1.4804490799227752,109.88536281551167,248.85392625235843
