date,ym,china_daily_body_count,china_daily_epu_count,china_daily_ratio,china_caixin_global_body_count,china_caixin_global_epu_count,china_caixin_global_ratio,china_people_s_daily_online_body_count,china_people_s_daily_online_epu_count,china_people_s_daily_online_ratio,news_total,china_daily_weights,china_caixin_global_weights,china_people_s_daily_online_weights,china_daily_z_score,china_caixin_global_z_score,china_people_s_daily_online_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2020-01-01,2020-1,88.0,1.0,0.011363636363636364,36.0,0.0,0.0,0.0,0.0,0.0,124.0,0.7096774193548387,0.2903225806451613,0.0,0.6047853016958841,0.0,,0.30239265084794203,0.4292024721712726,45.25266592230153,39.23504479815933,45.25266592230153
2020-02-01,2020-2,59.0,2.0,0.03389830508474576,65.0,3.0,0.046153846153846156,0.0,0.0,0.0,124.0,0.47580645161290325,0.5241935483870968,0.0,1.8041053067538235,0.9579655801981442,,1.3810354434759837,1.3605643210593144,143.45015855857204,179.1875144474756,143.45015855857204
2020-03-01,2020-3,35.0,1.0,0.02857142857142857,67.0,6.0,0.08955223880597014,0.0,0.0,0.0,102.0,0.3431372549019608,0.6568627450980392,0.0,1.5206030442639369,1.8587391854590856,,1.6896711148615111,1.7427120781862402,183.7416431316636,219.2325828681705,183.7416431316636
2020-04-01,2020-4,92.0,4.0,0.043478260869565216,63.0,1.0,0.015873015873015872,0.0,0.0,0.0,155.0,0.5935483870967742,0.4064516129032258,0.0,2.3139611543146867,0.3294590619729067,,1.3217101081437967,1.5073570780725438,158.92715140842327,171.49013098627952,158.92715140842327
2020-05-01,2020-5,144.0,5.0,0.034722222222222224,39.0,3.0,0.07692307692307693,0.0,0.0,0.0,183.0,0.7868852459016393,0.21311475409836064,0.0,1.8479550885152014,1.5966093003302404,,1.722282194422721,1.7943895926725046,189.19022614403877,223.4638271259676,189.19022614403877
2020-06-01,2020-6,77.0,5.0,0.06493506493506493,52.0,0.0,0.0,0.0,0.0,0.0,129.0,0.5968992248062015,0.40310077519379844,0.0,3.4559160096907657,0.0,,1.7279580048453829,2.0628335871797594,217.49343311493755,224.20025598948183,217.49343311493755
2020-07-01,2020-7,93.0,2.0,0.021505376344086023,62.0,1.0,0.016129032258064516,0.0,0.0,0.0,155.0,0.6,0.4,0.0,1.1445399257900601,0.3347729178111794,,0.7396564218006197,0.8206331225985078,86.52288593274083,95.96943828898297,86.52288593274083
2020-08-01,2020-8,52.0,4.0,0.07692307692307693,39.0,2.0,0.05128205128205128,0.0,0.0,0.0,91.0,0.5714285714285714,0.42857142857142855,0.0,4.093931273018292,1.0644062002201602,,2.579168736619226,2.7955633846762353,294.7482927379083,334.6437178268349,294.7482927379083
2020-09-01,2020-9,64.0,1.0,0.015625,50.0,0.0,0.0,0.0,0.0,0.0,114.0,0.5614035087719298,0.43859649122807015,0.0,0.8315797898318406,0.0,,0.4157898949159203,0.46685181183541924,49.222198020749026,53.94818659746907,49.222198020749026
2020-10-01,2020-10,89.0,3.0,0.033707865168539325,50.0,2.0,0.04,0.0,0.0,0.0,139.0,0.6402877697841727,0.3597122302158273,0.0,1.793969883682173,0.830236836171725,,1.312103359926949,1.4473033198294938,152.59542492650553,170.24366816519003,152.59542492650553
2020-11-01,2020-11,84.0,2.0,0.023809523809523808,41.0,3.0,0.07317073170731707,0.0,0.0,0.0,125.0,0.672,0.328,0.0,1.2671692035532807,1.5187259198263259,,1.3929475616898033,1.3496798064908395,142.3025572901034,180.73309596359252,142.3025572901034
2020-12-01,2020-12,77.0,2.0,0.025974025974025976,59.0,1.0,0.01694915254237288,0.0,0.0,0.0,136.0,0.5661764705882353,0.4338235294117647,0.0,1.3823664038763064,0.35179526956429025,,0.8670808367202983,0.9352803970791818,98.61064205569727,112.50258687488173,98.61064205569727
2021-01-01,2021-1,84.0,3.0,0.03571428571428571,62.0,4.0,0.06451612903225806,0.0,0.0,0.0,146.0,0.5753424657534246,0.4246575342465753,0.0,1.900753805329921,1.3390916712447176,,1.6199227382873194,1.662239748389629,175.25709867446824,210.1828236501021,175.25709867446824
2021-02-01,2021-2,67.0,1.0,0.014925373134328358,49.0,3.0,0.061224489795918366,0.0,0.0,0.0,116.0,0.5775862068965517,0.4224137931034483,0.0,0.7943448738692208,1.270770667609783,,1.032557770739502,0.9955937005354928,104.96973350773742,133.97299927114813,104.96973350773742
2021-03-01,2021-3,123.0,5.0,0.04065040650406504,66.0,7.0,0.10606060606060606,0.0,0.0,0.0,189.0,0.6507936507936508,0.3492063492063492,0.0,2.1634596158226747,2.2013855504553312,,2.1824225831390027,2.1767035929959833,229.4992384536259,283.16643138602956,229.4992384536259
2021-04-01,2021-4,89.0,1.0,0.011235955056179775,54.0,1.0,0.018518518518518517,0.0,0.0,0.0,143.0,0.6223776223776224,0.3776223776223776,0.0,0.5979899612273909,0.3843689056350578,,0.4911794334312244,0.517321870304412,54.54347374272335,63.72987908459204,54.54347374272335
2021-05-01,2021-5,53.0,2.0,0.03773584905660377,67.0,4.0,0.05970149253731343,0.0,0.0,0.0,120.0,0.44166666666666665,0.5583333333333333,0.0,2.0083436433674637,1.2391594569727238,,1.6237515501700939,1.5788824726304007,166.46838193422482,210.67960690631926,166.46838193422482
2021-06-01,2021-6,103.0,2.0,0.019417475728155338,89.0,0.0,0.0,0.0,0.0,0.0,192.0,0.5364583333333334,0.4635416666666667,0.0,1.033419544645394,0.0,,0.516709772322697,0.5543865265545603,58.45136014963946,67.04240664539844,58.45136014963946
2021-07-01,2021-7,65.0,0.0,0.0,101.0,2.0,0.019801980198019802,0.0,0.0,0.0,166.0,0.39156626506024095,0.608433734939759,0.0,0.0,0.4110083347384777,,0.20550416736923885,0.25007133619630273,26.366098443904228,26.663892757747526,26.366098443904228
2021-08-01,2021-8,102.0,1.0,0.00980392156862745,78.0,3.0,0.038461538461538464,0.0,0.0,0.0,180.0,0.5666666666666667,0.43333333333333335,0.0,0.5217755544042921,0.7983046501651202,,0.6600401022847062,0.6416048292339842,67.64716159387523,85.63932658120139,67.64716159387523
2021-09-01,2021-9,81.0,3.0,0.037037037037037035,50.0,2.0,0.04,0.0,0.0,0.0,131.0,0.6183206106870229,0.3816793893129771,0.0,1.9711520944162146,0.830236836171725,,1.4006944652939697,1.5356882553916003,161.91422950216997,181.7382464165026,161.91422950216997
2021-10-01,2021-10,78.0,2.0,0.02564102564102564,58.0,4.0,0.06896551724137931,0.0,0.0,0.0,136.0,0.5735294117647058,0.4264705882352941,0.0,1.364643757672764,1.4314428209857326,,1.3980432893292483,1.3931315934974122,146.8838664125513,181.39425985647222,146.8838664125513
2021-11-01,2021-11,99.0,3.0,0.030303030303030304,53.0,3.0,0.05660377358490566,0.0,0.0,0.0,152.0,0.6513157894736842,0.34868421052631576,0.0,1.6127608045223574,1.1748634474128183,,1.393812125967588,1.4600729102670575,153.94177786597578,180.8452720302881,153.94177786597578
2021-12-01,2021-12,107.0,3.0,0.028037383177570093,54.0,0.0,0.0,0.0,0.0,0.0,161.0,0.6645962732919255,0.33540372670807456,0.0,1.4921805574552653,0.0,,0.7460902787276327,0.9916976375634373,104.55895480183956,96.80422267957067,104.55895480183956
2022-01-01,2022-1,63.0,3.0,0.047619047619047616,54.0,0.0,0.0,0.0,0.0,0.0,117.0,0.5384615384615384,0.46153846153846156,0.0,2.5343384071065613,0.0,,1.2671692035532807,1.3646437576727637,143.88027113757406,164.41352105895334,143.88027113757406
2022-02-01,2022-2,43.0,1.0,0.023255813953488372,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0.46236559139784944,0.5376344086021505,0.0,1.2377001523078557,0.0,,0.6188500761539278,0.5722699628950301,60.33688789640203,80.2949754008842,60.33688789640203
2022-03-01,2022-3,112.0,6.0,0.05357142857142857,65.0,0.0,0.0,0.0,0.0,0.0,177.0,0.632768361581921,0.3672316384180791,0.0,2.8511307079948818,0.0,,1.4255653539974409,1.8041053067538237,190.21459574119964,184.9652111913225,190.21459574119964
2022-04-01,2022-4,72.0,3.0,0.041666666666666664,44.0,0.0,0.0,0.0,0.0,0.0,116.0,0.6206896551724138,0.3793103448275862,0.0,2.2175461062182413,0.0,,1.1087730531091207,1.3764079279975292,145.12061830255317,143.8618309265842,145.12061830255317
2022-05-01,2022-5,45.0,2.0,0.044444444444444446,48.0,0.0,0.0,0.0,0.0,0.0,93.0,0.4838709677419355,0.5161290322580645,0.0,2.3653825132994575,0.0,,1.1826912566497287,1.1445399257900601,120.67377579280407,153.4526196550231,120.67377579280407
2022-06-01,2022-6,52.0,1.0,0.019230769230769232,53.0,0.0,0.0,0.0,0.0,0.0,105.0,0.49523809523809526,0.5047619047619047,0.0,1.023482818254573,0.0,,0.5117414091272865,0.5068676814213123,53.44124356538466,66.39776811996194,53.44124356538466
2022-07-01,2022-7,48.0,1.0,0.020833333333333332,50.0,0.0,0.0,0.0,0.0,0.0,98.0,0.4897959183673469,0.5102040816326531,0.0,1.1087730531091207,0.0,,0.5543865265545603,0.5430725158085489,57.25847524862641,71.9309154632921,57.25847524862641
2022-08-01,2022-8,45.0,2.0,0.044444444444444446,51.0,0.0,0.0,0.0,0.0,0.0,96.0,0.46875,0.53125,0.0,2.3653825132994575,0.0,,1.1826912566497287,1.1087730531091207,116.90272029927893,153.4526196550231,116.90272029927893
2022-09-01,2022-9,65.0,2.0,0.03076923076923077,51.0,0.0,0.0,0.0,0.0,0.0,116.0,0.5603448275862069,0.4396551724137931,0.0,1.6375725092073168,0.0,,0.8187862546036584,0.9176052853316861,96.74707886836877,106.23642899193909,96.74707886836877
2022-10-01,2022-10,70.0,1.0,0.014285714285714285,42.0,0.0,0.0,0.0,0.0,0.0,112.0,0.625,0.375,0.0,0.7603015221319684,0.0,,0.3801507610659842,0.4751884513324803,50.10116584254811,49.324056317686,50.10116584254811
2022-11-01,2022-11,53.0,1.0,0.018867924528301886,48.0,0.0,0.0,0.0,0.0,0.0,101.0,0.5247524752475248,0.4752475247524752,0.0,1.0041718216837319,0.0,,0.5020859108418659,0.5269416490023544,55.557728459063256,65.14498004222679,55.557728459063256
2022-12-01,2022-12,98.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,159.0,0.6163522012578616,0.3836477987421384,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2023-01-01,2023-1,71.0,1.0,0.014084507042253521,36.0,0.0,0.0,0.0,0.0,0.0,107.0,0.6635514018691588,0.3364485981308411,0.0,0.7495930499892648,0.0,,0.3747965249946324,0.4973935191517551,52.44234181649897,48.62935129912705,52.44234181649897
