date,ym,china_daily_body_count,china_daily_epu_count,china_daily_ratio,china_caixin_global_body_count,china_caixin_global_epu_count,china_caixin_global_ratio,china_people_s_daily_online_body_count,china_people_s_daily_online_epu_count,china_people_s_daily_online_ratio,news_total,china_daily_weights,china_caixin_global_weights,china_people_s_daily_online_weights,china_daily_z_score,china_caixin_global_z_score,china_people_s_daily_online_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_job
2023-12-01,2023-12,93.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,130.0,0.7153846153846154,0.2846153846153846,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-01-01,2024-1,68.0,1.0,0.014705882352941176,39.0,0.0,0.0,0.0,0.0,0.0,107.0,0.6355140186915887,0.3644859813084112,0.0,0.8060063422985393,0.0,,0.40300317114926965,0.5122283296850529,67.27440950347986,58.8489415421622,67.27440950347986
2024-02-01,2024-2,71.0,2.0,0.028169014084507043,32.0,0.0,0.0,0.0,0.0,0.0,103.0,0.6893203883495146,0.3106796116504854,0.0,1.54389947257185,0.0,,0.771949736285925,1.0642413840058385,139.77401586159897,112.72473309484592,139.77401586159897
2024-03-01,2024-3,90.0,1.0,0.011111111111111112,38.0,0.0,0.0,0.0,0.0,0.0,128.0,0.703125,0.296875,0.0,0.6089825697366742,0.0,,0.3044912848683371,0.42819086934609907,56.23720169431521,44.46364472074478,56.23720169431521
2024-04-01,2024-4,65.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,106.0,0.6132075471698113,0.3867924528301887,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-05-01,2024-5,62.0,1.0,0.016129032258064516,36.0,0.0,0.0,0.0,0.0,0.0,98.0,0.6326530612244898,0.3673469387755102,0.0,0.8840069560693656,0.0,,0.4420034780346828,0.5592697069010273,73.45267160073823,64.54400040108112,73.45267160073823
2024-06-01,2024-6,47.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,91.0,0.5164835164835165,0.4835164835164835,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-07-01,2024-7,94.0,1.0,0.010638297872340425,39.0,0.0,0.0,0.0,0.0,0.0,133.0,0.706766917293233,0.2932330827067669,0.0,0.5830684178329858,0.0,,0.2915342089164929,0.41209346824286214,54.12302117949131,42.57157473262797,54.12302117949131
2024-08-01,2024-8,70.0,1.0,0.014285714285714285,38.0,0.0,0.0,0.0,0.0,0.0,108.0,0.6481481481481481,0.35185185185185186,0.0,0.7829775896614382,0.0,,0.3914887948307191,0.5074854747805617,66.65149830437356,57.16754321238614,66.65149830437356
2024-09-01,2024-9,75.0,0.0,0.0,22.0,0.0,0.0,94.0,1.0,0.010638297872340425,191.0,0.39267015706806285,0.11518324607329843,0.49214659685863876,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-01,2024-10,54.0,0.0,0.0,15.0,0.0,0.0,101.0,1.0,0.009900990099009901,170.0,0.3176470588235294,0.08823529411764706,0.5941176470588235,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-11-01,2024-11,62.0,1.0,0.016129032258064516,9.0,0.0,0.0,101.0,0.0,0.0,172.0,0.36046511627906974,0.05232558139534884,0.5872093023255814,0.8840069560693656,0.0,,0.4420034780346828,0.3186536702110504,41.850940795769446,64.54400040108112,41.850940795769446
2024-12-01,2024-12,75.0,1.0,0.013333333333333334,11.0,0.0,0.0,153.0,2.0,0.013071895424836602,239.0,0.3138075313807531,0.04602510460251046,0.6401673640167364,0.730779083684009,0.0,,0.3653895418420045,0.22932398023556766,30.11866868984245,53.35637366489374,30.11866868984245
