date,ym,vietnam_net_body_count,vietnam_net_epu_count,vietnam_net_ratio,vietnam_tuoi_tre_body_count,vietnam_tuoi_tre_epu_count,vietnam_tuoi_tre_ratio,vietnam_dan_tri_body_count,vietnam_dan_tri_epu_count,vietnam_dan_tri_ratio,vietnam_news_body_count,vietnam_news_epu_count,vietnam_news_ratio,news_total,vietnam_net_weights,vietnam_tuoi_tre_weights,vietnam_dan_tri_weights,vietnam_news_weights,vietnam_net_z_score,vietnam_tuoi_tre_z_score,vietnam_dan_tri_z_score,vietnam_news_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_job
2021-11-01,2021-11,2030,0.0,0.0,274,1.0,0.0036496350364963502,0.0,0.0,0.0,307.0,13.0,0.04234527687296417,2611.0,0.7774798927613941,0.10494063577173497,0.0,0.11757947146687094,,0.6316626230865636,,5.918056244653886,3.2748594338702244,0.7621290026175647,145.4233371562376,385.3863671074778,145.4233371562376
2021-12-01,2021-12,2126,0.0,0.0,249,2.0,0.008032128514056224,0.0,0.0,0.0,313.0,4.0,0.012779552715654952,2688.0,0.7909226190476191,0.09263392857142858,0.0,0.11644345238095238,,1.3901651303270555,,1.786034177546073,1.5880996539365642,0.3367484430890468,64.25563416164884,186.88800804862535,64.25563416164884
2022-01-01,2022-1,1901,0.0,0.0,244,1.0,0.004098360655737705,0.0,0.0,0.0,276.0,10.0,0.036231884057971016,2421.0,0.785212722015696,0.10078479966955803,0.0,0.11400247831474597,,0.7093260603513051,,5.063665738876096,2.8864958996137005,0.6487597284822473,123.7911225060741,339.6836386067731,123.7911225060741
2022-02-01,2022-2,1741,0.0,0.0,207,1.0,0.004830917874396135,0.0,0.0,0.0,229.0,3.0,0.013100436681222707,2177.0,0.7997243913642628,0.09508497932935232,0.0,0.10519062930638494,,0.8361138102691711,,1.8308800138818369,1.333496912075504,0.27209328521114334,51.91865605075779,156.92628672201613,51.91865605075779
2022-03-01,2022-3,1814,0.0,0.0,233,3.0,0.012875536480686695,0.0,0.0,0.0,298.0,7.0,0.02348993288590604,2345.0,0.7735607675906183,0.09936034115138592,0.0,0.12707889125799574,,2.22844067028822,,3.2828866468149718,2.7556636585515957,0.6386042204383867,121.85332999957859,324.2872641664,121.85332999957859
2022-04-01,2022-4,1639,0.0,0.0,230,0.0,0.0,0.0,0.0,0.0,293.0,3.0,0.010238907849829351,2162.0,0.7580943570767807,0.10638297872340426,0.0,0.13552266419981499,,0.0,,1.430960829962255,0.7154804149811275,0.19392762404206323,37.00371217748891,84.1979338149065,37.00371217748891
2022-05-01,2022-5,1881,0.0,0.0,250,2.0,0.008,0.0,0.0,0.0,266.0,6.0,0.022556390977443608,2397.0,0.7847309136420526,0.10429703796412182,0.0,0.11097204839382561,,1.3846044698057474,,3.152417467510832,2.2685109686582896,0.49424036871477606,94.30697890905275,266.9590004116581,94.30697890905275
2022-06-01,2022-6,1802,0.0,0.0,229,1.0,0.004366812227074236,0.0,0.0,0.0,293.0,4.0,0.013651877133105802,2324.0,0.7753872633390706,0.09853700516351119,0.0,0.12607573149741824,,0.7557884660511721,,1.9079477732830066,1.3318681196670894,0.31501904315733187,60.10940453173122,156.73460997932634,60.10940453173122
2022-07-01,2022-7,1807,0.0,0.0,238,0.0,0.0,0.0,0.0,0.0,288.0,1.0,0.003472222222222222,2333.0,0.7745392198885555,0.1020145735105015,0.0,0.12344620660094299,,0.0,,0.48526796664229244,0.24263398332114622,0.05990448966694394,11.430493745925276,28.553234499731026,11.430493745925276
2022-08-01,2022-8,1992,0.0,0.0,205,1.0,0.004878048780487805,0.0,0.0,0.0,299.0,3.0,0.010033444816053512,2496.0,0.7980769230769231,0.08213141025641026,0.0,0.11979166666666667,,0.8442710181742362,,1.4022458969195342,1.1232584575468851,0.23731854242975126,45.28321883914251,132.1853670418935,45.28321883914251
2022-09-01,2022-9,1754,0.0,0.0,205,3.0,0.014634146341463415,0.0,0.0,0.0,288.0,8.0,0.027777777777777776,2247.0,0.7805963506898086,0.09123275478415666,0.0,0.12817089452603472,,2.532813054522709,,3.8821437331383395,3.2074783938305242,0.728653347272362,139.0357813788409,377.4569476141547,139.0357813788409
2022-10-01,2022-10,2004,0.0,0.0,231,1.0,0.004329004329004329,0.0,0.0,0.0,304.0,5.0,0.01644736842105263,2539.0,0.7892871209137455,0.09098070106341079,0.0,0.11973217802284364,,0.749244842968478,,2.2986377367266484,1.5239412898475633,0.3433877237851987,65.52248839739545,179.3378339556268,65.52248839739545
2022-11-01,2022-11,1880,0.0,0.0,214,2.0,0.009345794392523364,0.0,0.0,0.0,324.0,8.0,0.024691358024691357,2418.0,0.7775020678246485,0.08850289495450786,0.0,0.13399503722084366,,1.6175285862216675,,3.4507944294563018,2.5341615078389848,0.605545290568767,115.54529043154953,298.22082959313246,115.54529043154953
2022-12-01,2022-12,1378,0.0,0.0,218,2.0,0.009174311926605505,0.0,0.0,0.0,298.0,7.0,0.02348993288590604,1894.0,0.7275607180570222,0.11510031678986272,0.0,0.1573389651531151,,1.58784916262127,,3.2828866468149718,2.435367904718121,0.6992879293570742,133.43250810678094,286.59477095793414,133.43250810678094
2023-01-01,2023-1,1317,0.0,0.0,170,1.0,0.0058823529411764705,0.0,0.0,0.0,208.0,8.0,0.038461538461538464,1695.0,0.7769911504424779,0.10029498525073746,0.0,0.12271386430678466,,1.0180915219159907,,5.375275938191548,3.196683730053769,0.7617303562652273,145.34727066001068,376.1866285848723,145.34727066001068
