date,ym,vietnam_net_body_count,vietnam_net_epu_count,vietnam_net_ratio,vietnam_tuoi_tre_body_count,vietnam_tuoi_tre_epu_count,vietnam_tuoi_tre_ratio,vietnam_dan_tri_body_count,vietnam_dan_tri_epu_count,vietnam_dan_tri_ratio,vietnam_news_body_count,vietnam_news_epu_count,vietnam_news_ratio,news_total,vietnam_net_weights,vietnam_tuoi_tre_weights,vietnam_dan_tri_weights,vietnam_news_weights,vietnam_net_z_score,vietnam_tuoi_tre_z_score,vietnam_dan_tri_z_score,vietnam_news_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
2019-02-01,2019-2,172,0.0,0.0,149,0.0,0.0,0.0,0.0,0.0,242.0,18.0,0.0743801652892562,563.0,0.30550621669627,0.26465364120781526,0.0,0.42984014209591476,,0.0,,2.1966644858731166,1.0983322429365583,0.94421457474475,90.51433557806432,67.39388224132404
2019-03-01,2019-3,239,0.0,0.0,175,6.0,0.03428571428571429,0.0,0.0,0.0,363.0,18.0,0.049586776859504134,777.0,0.3075933075933076,0.22522522522522523,0.0,0.4671814671814672,,3.080967231313137,,1.4644429905820777,2.2727051109476073,1.3780721635277904,132.10480922100075,139.45363217867902
2019-04-01,2019-4,224,0.0,0.0,154,1.0,0.006493506493506494,0.0,0.0,0.0,308.0,27.0,0.08766233766233766,686.0,0.32653061224489793,0.22448979591836735,0.0,0.4489795918367347,,0.5835165210820336,,2.5889260012076014,1.5862212611448174,1.2933684440503999,123.98493785430493,97.3308482654216
2019-05-01,2019-5,344,0.0,0.0,145,2.0,0.013793103448275862,0.0,0.0,0.0,332.0,21.0,0.06325301204819277,821.0,0.4190012180267966,0.17661388550548113,0.0,0.4043848964677223,,1.2394695758156298,,1.8680470075647886,1.553758291690209,0.9743175335015544,93.40006662234798,95.33891408093645
2019-06-01,2019-6,282,0.0,0.0,150,1.0,0.006666666666666667,0.0,0.0,0.0,305.0,30.0,0.09836065573770492,737.0,0.38263229308005425,0.20352781546811397,0.0,0.41383989145183175,,0.5990769616442211,,2.9048787190234653,1.751977840333843,1.3240835190621303,126.929347611662,107.50170453448875
2019-07-01,2019-7,363,0.0,0.0,158,0.0,0.0,0.0,0.0,0.0,347.0,26.0,0.07492795389048991,868.0,0.4182027649769585,0.18202764976958524,0.0,0.39976958525345624,,0.0,,2.2128422902839655,1.1064211451419828,0.8846270446181291,84.80215336608457,67.89021887006257
2019-08-01,2019-8,318,0.0,0.0,154,2.0,0.012987012987012988,0.0,0.0,0.0,373.0,27.0,0.07238605898123325,845.0,0.3763313609467456,0.18224852071005918,0.0,0.4414201183431953,,1.1670330421640671,,2.137772676600379,1.652402859382223,1.1563459134499499,110.84967850938591,101.39176413749799
2019-09-01,2019-9,1023,0.0,0.0,136,1.0,0.007352941176470588,0.0,0.0,0.0,322.0,34.0,0.10559006211180125,1481.0,0.6907494935854153,0.09182984469952735,0.0,0.2174206617150574,,0.6607466488723026,,3.1183842977508633,1.889565473311583,0.7386774396505139,70.81112645877819,115.9441087290271
2019-10-01,2019-10,1248,0.0,0.0,175,3.0,0.017142857142857144,0.0,0.0,0.0,365.0,29.0,0.07945205479452055,1788.0,0.697986577181208,0.09787472035794184,0.0,0.2041387024608501,,1.5404836156565684,,2.346452262078772,1.9434679388676703,0.6297761232654651,60.371624083130214,119.25157460701263
2019-11-01,2019-11,1051,0.0,0.0,159,1.0,0.006289308176100629,0.0,0.0,0.0,357.0,27.0,0.07563025210084033,1567.0,0.6707083599234206,0.10146777281429484,0.0,0.22782386726228462,,0.5651669449473784,,2.2335832167281264,1.3993750808377525,0.5662097974592051,54.27802639952341,85.86592992778986
2019-12-01,2019-12,1133,0.0,0.0,184,1.0,0.005434782608695652,0.0,0.0,0.0,295.0,24.0,0.08135593220338982,1612.0,0.7028535980148883,0.1141439205955335,0.0,0.18300248138957817,,0.4883779578621367,,2.4026793472600865,1.4455286525611115,0.49544165737491236,47.4940481056523,88.6979221575948
2020-01-01,2020-1,1090,0.0,0.0,169,2.0,0.011834319526627219,0.0,0.0,0.0,272.0,25.0,0.09191176470588236,1531.0,0.7119529719137818,0.11038536903984324,0.0,0.17766165904637493,,1.0634502277708067,,2.714424048107099,1.8889371379389528,0.5996384255900701,57.48256289523404,115.90555394709894
2020-02-01,2020-2,1037,0.0,0.0,177,6.0,0.03389830508474576,0.0,0.0,0.0,298.0,27.0,0.09060402684563758,1512.0,0.6858465608465608,0.11706349206349206,0.0,0.1970899470899471,,3.046154042258751,,2.675802712657521,2.860978377458136,0.8839672446109392,84.73890359123192,175.55019540341868
2020-03-01,2020-3,1006,0.0,0.0,259,7.0,0.02702702702702703,0.0,0.0,0.0,385.0,28.0,0.07272727272727272,1650.0,0.6096969696969697,0.15696969696969698,0.0,0.23333333333333334,,2.4286903850441397,,2.1478497195203805,2.28827005228226,0.8823957283283508,84.58825483408151,140.4087000373773
2020-04-01,2020-4,959,0.0,0.0,256,11.0,0.04296875,0.0,0.0,0.0,358.0,29.0,0.08100558659217877,1573.0,0.6096630642085188,0.16274634456452639,0.0,0.22759059122695485,,3.8612382293475185,,2.392332613571932,3.1267854214597253,1.172874801253475,112.43417141745705,191.86016785261342
2020-05-01,2020-5,988,0.0,0.0,221,3.0,0.013574660633484163,0.0,0.0,0.0,334.0,25.0,0.0748502994011976,1543.0,0.6403110823071938,0.14322747893713544,0.0,0.21646143875567078,,1.2198399671488664,,2.210548925404583,1.7151944462767248,0.6532132040343682,62.618350463370824,105.24466824745986
2020-06-01,2020-6,881,0.0,0.0,201,7.0,0.03482587064676617,0.0,0.0,0.0,342.0,31.0,0.09064327485380116,1424.0,0.6186797752808989,0.14115168539325842,0.0,0.2401685393258427,,3.1295065160519013,,2.676961821478252,2.903234168765077,1.0846571296853893,103.97744543397204,178.14301906098513
2020-07-01,2020-7,1005,0.0,0.0,221,9.0,0.04072398190045249,0.0,0.0,0.0,369.0,40.0,0.10840108401084012,1595.0,0.6300940438871473,0.13855799373040753,0.0,0.23134796238244515,,3.6595199014465996,,3.201402020965337,3.430460961205968,1.247693569878312,119.60645122755929,210.49375864159927
2020-08-01,2020-8,795,0.0,0.0,304,3.0,0.009868421052631578,0.0,0.0,0.0,305.0,30.0,0.09836065573770492,1404.0,0.5662393162393162,0.21652421652421652,0.0,0.21723646723646722,,0.8867915550654587,,2.9048787190234653,1.895835137044462,0.823057437351892,78.89996519554892,116.3288165276224
2020-09-01,2020-9,946,0.0,0.0,223,4.0,0.017937219730941704,0.0,0.0,0.0,274.0,26.0,0.0948905109489051,1443.0,0.6555786555786556,0.15453915453915454,0.0,0.18988218988218988,,1.6118662645135993,,2.802395163242832,2.2071307138782155,0.7812213802599227,74.88947540628757,135.4299742895828
2020-10-01,2020-10,1049,0.0,0.0,254,3.0,0.011811023622047244,0.0,0.0,0.0,303.0,20.0,0.066006600660066,1606.0,0.6531755915317559,0.1581569115815691,0.0,0.18866749688667497,,1.061356821810628,,1.949368557320477,1.5053626895655525,0.5356434032428419,51.34786948655771,92.36935042516433
2020-11-01,2020-11,1017,0.0,0.0,248,6.0,0.024193548387096774,0.0,0.0,0.0,279.0,23.0,0.08243727598566308,1544.0,0.658678756476684,0.16062176165803108,0.0,0.18069948186528498,,2.174069618870157,,2.4346146014276715,2.304342110148914,0.7891364891697663,75.64823389526364,141.39488466612409
2020-12-01,2020-12,1022,0.0,0.0,229,4.0,0.017467248908296942,0.0,0.0,0.0,314.0,19.0,0.06050955414012739,1565.0,0.6530351437699681,0.1463258785942492,0.0,0.20063897763578276,,1.5696339606398804,,1.7870246472124185,1.6783293039261493,0.5882248665886467,56.38843584273207,102.98261586908146
2021-01-01,2021-1,1058,0.0,0.0,218,3.0,0.013761467889908258,0.0,0.0,0.0,275.0,20.0,0.07272727272727272,1551.0,0.68214055448098,0.14055448098001289,0.0,0.1773049645390071,,1.2366267556876123,,2.1478497195203805,1.6922382376039964,0.5546378501663469,53.168715922251245,103.83607077256401
2021-02-01,2021-2,835,0.0,0.0,208,4.0,0.019230769230769232,0.0,0.0,0.0,194.0,14.0,0.07216494845360824,1237.0,0.6750202101859337,0.16814874696847212,0.0,0.15683104284559418,,1.7281066201275608,,2.1312426340601713,1.929674627093866,0.6248239676590185,59.89690034301227,118.40521428628104
2021-03-01,2021-3,1019,0.0,0.0,249,3.0,0.012048192771084338,0.0,0.0,0.0,280.0,15.0,0.05357142857142857,1548.0,0.6582687338501292,0.16085271317829458,0.0,0.18087855297157623,,1.082669207790761,,1.582121445182423,1.332395326486592,0.4603221171776344,44.127417329355424,81.75603903974128
2021-04-01,2021-4,993,0.0,0.0,273,7.0,0.02564102564102564,0.0,0.0,0.0,258.0,28.0,0.10852713178294573,1524.0,0.6515748031496063,0.17913385826771652,0.0,0.16929133858267717,,2.304142160170081,,3.2051245814548315,2.7546333708124564,0.9553497058673088,91.58177196603312,169.02484489957686
2021-05-01,2021-5,1044,0.0,0.0,336,6.0,0.017857142857142856,0.0,0.0,0.0,264.0,19.0,0.07196969696969698,1644.0,0.635036496350365,0.20437956204379562,0.0,0.16058394160583941,,1.604670432975592,,2.125476284942043,1.8650733589588175,0.669279199941909,64.15846960987317,114.44126777980928
2021-06-01,2021-6,1078,0.0,0.0,369,6.0,0.016260162601626018,0.0,0.0,0.0,277.0,28.0,0.10108303249097472,1724.0,0.6252900232018561,0.2140371229698376,0.0,0.16067285382830626,,1.4611633210834662,,2.9852784910301313,2.223220906056799,0.7923964080598291,75.96073637114651,136.41727164327284
2021-07-01,2021-7,1952,0.0,0.0,342,8.0,0.023391812865497075,0.0,0.0,0.0,300.0,27.0,0.09,2594.0,0.7525057825751735,0.1318427139552814,0.0,0.1156515034695451,,2.102024426821828,,2.6579640279064707,2.3799942273641497,0.584534141227836,56.03463537960619,146.03691344357202
2021-08-01,2021-8,2383,0.0,0.0,312,9.0,0.028846153846153848,0.0,0.0,0.0,298.0,36.0,0.12080536912751678,2993.0,0.7961911125960575,0.10424323421316405,0.0,0.09956565319077848,,2.5921599301913414,,3.567736950210028,3.0799484402006847,0.6254391945814524,59.95587725101954,188.9862414794138
2021-09-01,2021-9,2158,0.0,0.0,281,17.0,0.060498220640569395,0.0,0.0,0.0,269.0,35.0,0.13011152416356878,2708.0,0.7968980797636632,0.10376661742983752,0.0,0.09933530280649926,,5.436463530935102,,3.842575009364993,4.639519270150047,0.9458267834977646,90.668885198453,284.6818140500557
2021-10-01,2021-10,2169,0.0,0.0,277,12.0,0.04332129963898917,0.0,0.0,0.0,315.0,44.0,0.13968253968253969,2761.0,0.7855849329952915,0.10032596885186526,0.0,0.11408909815284317,,3.8929188843306783,,4.125235175586763,4.00907702995872,0.8612052195832771,82.55688943163577,245.99775431434875
2021-11-01,2021-11,2030,0.0,0.0,274,5.0,0.01824817518248175,0.0,0.0,0.0,307.0,33.0,0.10749185667752444,2611.0,0.7774798927613941,0.10494063577173497,0.0,0.11757947146687094,,1.639809201580897,,3.1745498704637547,2.407179536022326,0.5453445160725923,52.277837955208035,147.705009324564
2021-12-01,2021-12,2126,0.0,0.0,249,11.0,0.04417670682730924,0.0,0.0,0.0,313.0,39.0,0.12460063897763578,2688.0,0.7909226190476191,0.09263392857142858,0.0,0.11644345238095238,,3.9697870952327903,,3.679822402852409,3.8248047490426,0.7962281989604795,76.32805966473175,234.69077094909892
2022-01-01,2022-1,1901,0.0,0.0,244,8.0,0.03278688524590164,0.0,0.0,0.0,276.0,36.0,0.13043478260869565,2421.0,0.785212722015696,0.10078479966955803,0.0,0.11400247831474597,,2.9462801392338744,,3.8521217795745955,3.3992009594042347,0.736091683244797,70.56325057411134,208.57563878866938
