date,ym,vietnam_net_body_count,vietnam_net_epu_count,vietnam_net_ratio,vietnam_tuoi_tre_body_count,vietnam_tuoi_tre_epu_count,vietnam_tuoi_tre_ratio,vietnam_dan_tri_body_count,vietnam_dan_tri_epu_count,vietnam_dan_tri_ratio,vietnam_news_body_count,vietnam_news_epu_count,vietnam_news_ratio,news_total,vietnam_net_weights,vietnam_tuoi_tre_weights,vietnam_dan_tri_weights,vietnam_news_weights,vietnam_net_z_score,vietnam_tuoi_tre_z_score,vietnam_dan_tri_z_score,vietnam_news_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2019-06-01,2019-6,282,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,305.0,20.0,0.06557377049180328,737.0,0.38263229308005425,0.20352781546811397,0.0,0.41383989145183175,,0.0,,2.482035294027117,1.2410176470135585,1.0271652166597975,111.08615298758043,88.79305380244533,111.08615298758043
2019-07-01,2019-7,363,0.0,0.0,158,0.0,0.0,0.0,0.0,0.0,347.0,20.0,0.05763688760806916,868.0,0.4182027649769585,0.18202764976958524,0.0,0.39976958525345624,,0.0,,2.181616036536803,1.0908080182684015,0.8721437381086067,94.32084648830272,78.04576775142888,94.32084648830272
2019-08-01,2019-8,318,0.0,0.0,154,1.0,0.006493506493506494,0.0,0.0,0.0,373.0,21.0,0.05630026809651475,845.0,0.3763313609467456,0.18224852071005918,0.0,0.4414201183431953,,0.7640721389585615,,2.131023600300762,1.4475478696296618,1.079927706877873,116.79232563177356,103.56999852415267,116.79232563177356
2019-09-01,2019-9,1023,0.0,0.0,136,0.0,0.0,0.0,0.0,0.0,322.0,24.0,0.07453416149068323,1481.0,0.6907494935854153,0.09182984469952735,0.0,0.2174206617150574,,0.0,,2.8211953963165364,1.4105976981582682,0.6133861698946149,66.33666016354903,100.92626612327635,66.33666016354903
2019-10-01,2019-10,1248,0.0,0.0,175,1.0,0.005714285714285714,0.0,0.0,0.0,365.0,16.0,0.043835616438356165,1788.0,0.697986577181208,0.09787472035794184,0.0,0.2041387024608501,,0.6723834822835341,,1.6592235938153876,1.165803538049461,0.40452109683570187,43.74826144904193,83.41159090381248,43.74826144904193
2019-11-01,2019-11,1051,0.0,0.0,159,1.0,0.006289308176100629,0.0,0.0,0.0,357.0,19.0,0.05322128851540616,1567.0,0.6707083599234206,0.10146777281429484,0.0,0.22782386726228462,,0.7400447132051475,,2.014481026454782,1.3772628698299647,0.534037546805345,57.75524293788384,98.54120640041651,57.75524293788384
2019-12-01,2019-12,1133,0.0,0.0,184,1.0,0.005434782608695652,0.0,0.0,0.0,295.0,19.0,0.06440677966101695,1612.0,0.7028535980148883,0.1141439205955335,0.0,0.18300248138957817,,0.6394951597805351,,2.437863479472397,1.538679319626466,0.519129550771697,56.14296878639204,110.0903246147072,56.14296878639204
2020-01-01,2020-1,1090,0.0,0.0,169,1.0,0.005917159763313609,0.0,0.0,0.0,272.0,18.0,0.0661764705882353,1531.0,0.7119529719137818,0.11038536903984324,0.0,0.17766165904637493,,0.6962550852048429,,2.5048481184207483,1.6005516018127957,0.5218718469040249,56.439543400438694,114.51719871619274,56.439543400438694
2020-02-01,2020-2,1037,0.0,0.0,177,4.0,0.022598870056497175,0.0,0.0,0.0,298.0,22.0,0.0738255033557047,1512.0,0.6858465608465608,0.11706349206349206,0.0,0.1970899470899471,,2.659143715245615,,2.7943719501546904,2.7267578327001525,0.86203126901096,93.22720033377622,195.09565841213106,93.22720033377622
2020-03-01,2020-3,1006,0.0,0.0,259,2.0,0.007722007722007722,0.0,0.0,0.0,385.0,24.0,0.06233766233766234,1650.0,0.6096969696969697,0.15696969696969698,0.0,0.23333333333333334,,0.9086263274101811,,2.3595452405556485,1.6340857839829148,0.6931873554019161,74.96702123699103,116.9165219238988,74.96702123699103
2020-04-01,2020-4,959,0.0,0.0,256,8.0,0.03125,0.0,0.0,0.0,358.0,24.0,0.0670391061452514,1573.0,0.6096630642085188,0.16274634456452639,0.0,0.22759059122695485,,3.6770971687380767,,2.537499769871298,3.1072984693046877,1.175945195683962,127.17645203909251,222.32280163717348,127.17645203909251
2020-05-01,2020-5,988,0.0,0.0,221,1.0,0.004524886877828055,0.0,0.0,0.0,334.0,22.0,0.0658682634730539,1543.0,0.6403110823071938,0.14322747893713544,0.0,0.21646143875567078,,0.5324303592742917,,2.493182159120053,1.5128062591971725,0.6159364553115465,66.612469148698,108.23914380977617,66.612469148698
2020-06-01,2020-6,881,0.0,0.0,201,3.0,0.014925373134328358,0.0,0.0,0.0,342.0,25.0,0.07309941520467836,1424.0,0.6186797752808989,0.14115168539325842,0.0,0.2401685393258427,,1.7562255134271412,,2.766888759789001,2.261557136608071,0.9124138230664984,98.67598697193618,161.81120791584578,98.67598697193618
2020-07-01,2020-7,1005,0.0,0.0,221,4.0,0.01809954751131222,0.0,0.0,0.0,369.0,30.0,0.08130081300813008,1595.0,0.6300940438871473,0.13855799373040753,0.0,0.23134796238244515,,2.129721437097167,,3.0773201816189864,2.6035208093580766,1.0070216831447523,108.90766445480148,186.27822405058197,108.90766445480148
2020-08-01,2020-8,795,0.0,0.0,304,1.0,0.003289473684210526,0.0,0.0,0.0,305.0,22.0,0.07213114754098361,1404.0,0.5662393162393162,0.21652421652421652,0.0,0.21723646723646722,,0.387062859867166,,2.7302388234298287,1.5586508416484974,0.6769159191921055,73.20729337353346,111.51925871059728,73.20729337353346
2020-09-01,2020-9,946,0.0,0.0,223,2.0,0.008968609865470852,0.0,0.0,0.0,274.0,19.0,0.06934306569343066,1443.0,0.6555786555786556,0.15453915453915454,0.0,0.18988218988218988,,1.0553103982028562,,2.6247070308188216,1.840008714510839,0.6614718955257062,71.53704875472872,131.65001575738611,71.53704875472872
2020-10-01,2020-10,1049,0.0,0.0,254,1.0,0.003937007874015748,0.0,0.0,0.0,303.0,17.0,0.056105610561056105,1606.0,0.6531755915317559,0.1581569115815691,0.0,0.18866749688667497,,0.4632563362189703,,2.1236556104835973,1.2934559733512838,0.47393197968626927,51.25492914600205,92.54494173330644,51.25492914600205
2020-11-01,2020-11,1017,0.0,0.0,248,6.0,0.024193548387096774,0.0,0.0,0.0,279.0,20.0,0.07168458781362007,1544.0,0.658678756476684,0.16062176165803108,0.0,0.18069948186528498,,2.846784904829479,,2.713336074115665,2.780060489472572,0.9475540291942884,102.47633987584462,198.9093879606159,102.47633987584462
2020-12-01,2020-12,1022,0.0,0.0,229,1.0,0.004366812227074236,0.0,0.0,0.0,314.0,16.0,0.050955414012738856,1565.0,0.6530351437699681,0.1463258785942492,0.0,0.20063897763578276,,0.5138301720507356,,1.9287153240210717,1.2212727480359036,0.4621621221356134,49.98203927852202,87.38033426419722,49.98203927852202
2021-01-01,2021-1,1058,0.0,0.0,218,2.0,0.009174311926605505,0.0,0.0,0.0,275.0,16.0,0.05818181818181818,1551.0,0.68214055448098,0.14055448098001289,0.0,0.1773049645390071,,1.0795147651341144,,2.2022422245186055,1.64087849482636,0.5421991170482614,58.63790273391136,117.40253075772796,58.63790273391136
2021-02-01,2021-2,835,0.0,0.0,208,2.0,0.009615384615384616,0.0,0.0,0.0,194.0,12.0,0.061855670103092786,1237.0,0.6750202101859337,0.16814874696847212,0.0,0.15683104284559418,,1.13141451345787,,2.341301334056507,1.7363579237571884,0.5574346625757473,60.28560080026448,124.23394857880685,60.28560080026448
2021-03-01,2021-3,1019,0.0,0.0,249,1.0,0.004016064257028112,0.0,0.0,0.0,280.0,12.0,0.04285714285714286,1548.0,0.6582687338501292,0.16085271317829458,0.0,0.18087855297157623,,0.47255867228762427,,1.6221873528820085,1.0473730125848164,0.3694312456114864,39.95335434141965,74.93805465334918,39.95335434141965
