code,title,keywords
04.4.3.1,Sewage collection through sewer systems (S),"payments made to the sanitation or water provider or the municipality for services related to the collection, transport and disposal of sewage by means of sewer systems and its disposal"
04.4.3.2,Sewage collection through on-site sanitation systems (S),"services to empty and evacuate liquid waste (excreta and wastewater) by means of on-site sanitation systems (pit latrines, septic tanks and/or soak pits) and clean them; communal toilets and pay toilets"
04.4.4.1,Charges for maintenance of multi-occupied buildings (S),"co-proprietor charges for caretaking, gardening, stairwell cleaning, heating and lighting, maintenance of lifts and refuse disposal chutes, pool cleaning, etc., in multi-occupied buildings"
04.4.4.9,Other services related to the dwelling n.e.c. (S),road and sidewalk cleaning and chimney sweeping; measurement of background radiation and the content of harmful substances inside the dwelling; landscaping and cleaning of the dwelling’s surrounding grounds; snow removal
04.5.1.0,Electricity (ND),"electricity from all sources (coal, solar, hydro, etc.); associated expenditure, such as meter rentals, cost of meter readings, standing charges, etc.; charges for self-produced energy (i.e., in some countries, households that self-produce more electricity than they consume are charged storage costs if they transmit that surplus electricity back into the electricity supply grid)"
04.5.2.1,Natural gas through networks (ND),"natural gas and town gas delivered through gas networks; associated expenditure, such as meters rentals, cost of meter readings, standing charges, etc."
04.5.2.2,Liquefied hydrocarbons (ND),"liquefied hydrocarbons (butane, propane, etc.) delivered in storage containers; associated expenditure, such as rental or purchase of storage containers, standing charges, etc."
04.5.3.0,Liquid fuels (ND),"domestic heating, lighting and cooking fuel oils; biofuels for domestic use; alcohol for fireplaces"
04.5.4.1,"Coal, coal briquettes, peat and peat briquettes (ND)",coal; coal briquettes; peat; peat briquettes
04.5.4.2,"Wood fuel, including pellets and briquettes (ND)","fuelwood, in the form of billets, faggots, logs or twigs, or in similar forms; wood in the form of chips or particles; non-agglomerated sawdust and wood waste and scrap; sawdust and wood waste and scrap agglomerated in briquettes and pellets or in similar forms"
04.5.4.3,Charcoal (ND),"Charcoal, whether agglomerated or not, in the form of blocks, sticks, granules or powder; or agglomerated with tar or other substances, in the form of balls, briquettes, tablets and so on.; wood and bamboo charcoal; shell and nut charcoal; charcoal briquettes; charcoal briquettes for barbecuing"
04.5.4.9,Other solid fuels (ND),"coke; other types of briquettes; other biomass n.e.c., such as waste from agricultural production (e.g., wheat and nutshells) and dry animal dung"
04.5.5.0,Other energy for heating and cooling (ND),"hot water and steam purchased from district heating plants; ice used for cooling and refrigeration purposes; associated expenditure, such as meter rentals of, cost of meter readings, standing charges and so on"
05.1.1.1,Household furniture (D),"sofas, couches, tables, chairs, cupboards, chests of drawers, bookshelves, hanger stands and coat stands; bunk beds and baby furniture, such as cradles, high chairs and playpens; beds, mattresses, mattress bases (tatamis), wardrobes and bedside tables; kitchen tables, chairs, cupboards and surfaces; furniture primarily for bathroom use; inflatable sofas, armchairs and beds; pieces of custom-made furniture"
05.1.1.2,Garden and camping furniture (D),"furniture used primarily in gardens; wrought iron benches, tables and arbours; small garden sheds for the storage of garden tools and machines; camping furniture; custom-made furniture"
