date,ym,lao_pasaxon_body_count,lao_pasaxon_epu_count,lao_pasaxon_ratio,lao_kosmo_body_count,lao_kosmo_epu_count,lao_kosmo_ratio,lao_kpl_body_count,lao_kpl_epu_count,lao_kpl_ratio,lao_the_tian_times_body_count,lao_the_tian_times_epu_count,lao_the_tian_times_ratio,news_total,lao_pasaxon_weights,lao_kosmo_weights,lao_kpl_weights,lao_the_tian_times_weights,lao_pasaxon_z_score,lao_kosmo_z_score,lao_kpl_z_score,lao_the_tian_times_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2019-06-01,2019-6,0.0,0.0,0.0,0.0,0.0,0.0,86,0.0,0.0,5.0,0.0,0.0,91.0,0.0,0.0,0.945054945054945,0.054945054945054944,,,,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,2019-7,0.0,0.0,0.0,0.0,0.0,0.0,85,0.0,0.0,25.0,1.0,0.04,110.0,0.0,0.0,0.7727272727272727,0.22727272727272727,,,,0.9445463964271954,0.9445463964271954,0.21466963555163532,276.349964844651,203.58057427992554,276.349964844651
2019-08-01,2019-8,0.0,0.0,0.0,0.0,0.0,0.0,109,0.0,0.0,29.0,1.0,0.034482758620689655,138.0,0.0,0.0,0.7898550724637681,0.21014492753623187,,,,0.8142641348510304,0.8142641348510304,0.17111347761362233,220.27895748486674,175.50049506890133,220.27895748486674
2019-09-01,2019-9,0.0,0.0,0.0,0.0,0.0,0.0,85,0.0,0.0,17.0,0.0,0.0,102.0,0.0,0.0,0.8333333333333334,0.16666666666666666,,,,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,2019-10,0.0,0.0,0.0,0.0,0.0,0.0,91,0.0,0.0,12.0,0.0,0.0,103.0,0.0,0.0,0.883495145631068,0.11650485436893204,,,,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,2019-11,0.0,0.0,0.0,0.0,0.0,0.0,142,0.0,0.0,25.0,1.0,0.04,167.0,0.0,0.0,0.8502994011976048,0.1497005988023952,,,,0.9445463964271954,0.9445463964271954,0.1413991611417957,182.02692295156655,203.58057427992554,182.02692295156655
2019-12-01,2019-12,0.0,0.0,0.0,0.0,0.0,0.0,125,0.0,0.0,18.0,3.0,0.16666666666666666,143.0,0.0,0.0,0.8741258741258742,0.1258741258741259,,,,3.935609985113314,3.935609985113314,0.49539146665761996,637.7306881030408,848.2523928330231,637.7306881030408
2020-01-01,2020-1,0.0,0.0,0.0,0.0,0.0,0.0,101,0.0,0.0,14.0,0.0,0.0,115.0,0.0,0.0,0.8782608695652174,0.12173913043478261,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,2020-2,0.0,0.0,0.0,0.0,0.0,0.0,67,0.0,0.0,26.0,0.0,0.0,93.0,0.0,0.0,0.7204301075268817,0.27956989247311825,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,2020-3,0.0,0.0,0.0,0.0,0.0,0.0,60,0.0,0.0,41.0,1.0,0.024390243902439025,101.0,0.0,0.0,0.594059405940594,0.40594059405940597,,,,0.5759429246507289,0.5759429246507289,0.23379861297702859,300.9752092367487,124.13449651214974,300.9752092367487
2020-04-01,2020-4,0.0,0.0,0.0,0.0,0.0,0.0,34,0.0,0.0,54.0,1.0,0.018518518518518517,88.0,0.0,0.0,0.38636363636363635,0.6136363636363636,,,,0.43728999834592375,0.43728999834592375,0.26833704443954415,345.4374560558138,94.2502658703359,345.4374560558138
2020-05-01,2020-5,0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,0.0,27.0,2.0,0.07407407407407407,72.0,0.0,0.0,0.625,0.375,,,,1.749159993383695,1.749159993383695,0.6559349975188856,844.4026703586559,377.0010634813436,844.4026703586559
2020-06-01,2020-6,0.0,0.0,0.0,0.0,0.0,0.0,79,0.0,0.0,31.0,0.0,0.0,110.0,0.0,0.0,0.7181818181818181,0.2818181818181818,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,2020-7,0.0,0.0,0.0,487.0,0.0,0.0,70,0.0,0.0,32.0,1.0,0.03125,589.0,0.0,0.8268251273344652,0.11884550084889643,0.05432937181663837,,,,0.7379268722087463,0.7379268722087463,0.040091103413717966,51.61034997098746,159.04732365619182,51.61034997098746
2020-08-01,2020-8,0.0,0.0,0.0,1040.0,0.0,0.0,64,0.0,0.0,41.0,0.0,0.0,1145.0,0.0,0.9082969432314411,0.05589519650655022,0.03580786026200873,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,2020-9,0.0,0.0,0.0,1018.0,0.0,0.0,82,0.0,0.0,49.0,0.0,0.0,1149.0,0.0,0.8859878154917319,0.07136640557006092,0.04264577893820714,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,2020-10,0.0,0.0,0.0,1281.0,0.0,0.0,73,0.0,0.0,54.0,0.0,0.0,1408.0,0.0,0.9098011363636364,0.05184659090909091,0.03835227272727273,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,2020-11,0.0,0.0,0.0,1235.0,0.0,0.0,148,0.0,0.0,38.0,0.0,0.0,1421.0,0.0,0.8691062631949331,0.10415200562983815,0.02674173117522871,,,,0.0,0.0,0.0,0.0,0.0,0.0
