date,ym,philippines_abc_au_solomon_islands_body_count,philippines_abc_au_solomon_islands_epu_count,philippines_abc_au_solomon_islands_ratio,philippines_asia_news_network_body_count,philippines_asia_news_network_epu_count,philippines_asia_news_network_ratio,philippines_philippine_star_body_count,philippines_philippine_star_epu_count,philippines_philippine_star_ratio,philippines_abante_body_count,philippines_abante_epu_count,philippines_abante_ratio,philippines_inquirer_body_count,philippines_inquirer_epu_count,philippines_inquirer_ratio,news_total,philippines_abc_au_solomon_islands_weights,philippines_asia_news_network_weights,philippines_philippine_star_weights,philippines_abante_weights,philippines_inquirer_weights,philippines_abc_au_solomon_islands_z_score,philippines_asia_news_network_z_score,philippines_philippine_star_z_score,philippines_abante_z_score,philippines_inquirer_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
2020-09-01,2020-9,11.0,3.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,569,17.0,0.029876977152899824,581.0,0.0189328743545611,0.0,0.0,0.0017211703958691911,0.9793459552495697,2.1158878306175213,,,0.0,2.0386414891969076,1.3848431066048097,2.036595135094377,125.24050230371687,185.72315871165227
2020-10-01,2020-10,8.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617,13.0,0.02106969205834684,625.0,0.0128,0.0,0.0,0.0,0.9872,0.9697819223663641,,,0.0,1.4376805315654044,0.8024874846439228,1.4316914293676566,88.04192383068937,107.62266841912319
2020-11-01,2020-11,9.0,1.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,600.0,3.0,0.005,543,12.0,0.022099447513812154,1152.0,0.0078125,0.0,0.0,0.5208333333333334,0.4713541666666667,0.862028375436768,,,7.879075553252019,1.5079454109236796,3.4163497798708224,4.821196133213282,296.47965617888406,458.17123207339034
2020-12-01,2020-12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.0,0.0,0.0,580,12.0,0.020689655172413793,996.0,0.002008032128514056,0.0,0.0,0.41566265060240964,0.5823293172690763,0.0,,,0.0,1.4117488933302724,0.4705829644434241,0.8221027692083916,50.55524389051648,63.11050990216363
2021-01-01,2021-1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,0.0,0.0,622,11.0,0.017684887459807074,1062.0,0.0018832391713747645,0.0,0.0,0.4124293785310734,0.5856873822975518,0.0,,,0.0,1.2067199811692308,0.40223999372307695,0.7067606669371578,43.462276527346084,53.944942815622184
2021-02-01,2021-2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.0,0.0,0.0,487,20.0,0.04106776180698152,889.0,0.0011248593925759281,0.0,0.0,0.45106861642294716,0.547806524184477,0.0,,,0.0,2.8022394186569404,0.9340798062189801,1.535085035867188,94.40011795079567,125.27069042866155
2021-03-01,2021-3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431.0,0.0,0.0,582,12.0,0.020618556701030927,1016.0,0.002952755905511811,0.0,0.0,0.4242125984251969,0.5728346456692913,0.0,,,0.0,1.4068975225628144,0.46896584085427145,0.8059196438302736,49.56006192416772,62.89363529768884
2021-04-01,2021-4,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0,1.0,0.0024509803921568627,563,18.0,0.03197158081705151,980.0,0.009183673469387756,0.0,0.0,0.4163265306122449,0.5744897959183674,0.0,,,3.862291937868637,2.181565785430439,2.014619241099692,2.8612618855589194,175.95341832792562,270.18327727798004
2021-05-01,2021-5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,1.0,0.002150537634408602,676,17.0,0.02514792899408284,1145.0,0.0034934497816593887,0.0,0.0,0.40611353711790393,0.5903930131004367,0.0,,,3.388849700323449,1.7159571114689949,1.7016022705974814,2.3893468279506065,146.93298228685958,228.20415327847533
2021-06-01,2021-6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,0.0,0.0,695,10.0,0.014388489208633094,1135.0,0.006167400881057269,0.0,0.0,0.3814977973568282,0.6123348017621145,0.0,,,0.0,0.981791796320813,0.32726393210693766,0.6011852849717754,36.969914034474606,43.889803049466316
