date,ym,philippines_abc_au_solomon_islands_body_count,philippines_abc_au_solomon_islands_epu_count,philippines_abc_au_solomon_islands_ratio,philippines_asia_news_network_body_count,philippines_asia_news_network_epu_count,philippines_asia_news_network_ratio,philippines_philippine_star_body_count,philippines_philippine_star_epu_count,philippines_philippine_star_ratio,philippines_abante_body_count,philippines_abante_epu_count,philippines_abante_ratio,philippines_inquirer_body_count,philippines_inquirer_epu_count,philippines_inquirer_ratio,news_total,philippines_abc_au_solomon_islands_weights,philippines_asia_news_network_weights,philippines_philippine_star_weights,philippines_abante_weights,philippines_inquirer_weights,philippines_abc_au_solomon_islands_z_score,philippines_asia_news_network_z_score,philippines_philippine_star_z_score,philippines_abante_z_score,philippines_inquirer_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_job
2017-08-01,2017-8,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225,0.0,0.0,244.0,0.0778688524590164,0.0,0.0,0.0,0.9221311475409836,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,2017-9,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,0.0,0.0,266.0,0.05263157894736842,0.0,0.0,0.0,0.9473684210526315,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-01,2017-10,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206,1.0,0.0048543689320388345,214.0,0.037383177570093455,0.0,0.0,0.0,0.9626168224299065,0.0,,,,0.5802248648212426,0.2901124324106213,0.5585342156690466,52.57750283930788,39.59497830443574,52.57750283930788
2017-11-01,2017-11,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140,1.0,0.007142857142857143,148.0,0.05405405405405406,0.0,0.0,0.0,0.9459459459459459,0.0,,,,0.853759443951257,0.4268797219756285,0.8076102848187566,76.02422707845871,58.26118236224117,76.02422707845871
2017-12-01,2017-12,13.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204,0.0,0.0,217.0,0.059907834101382486,0.0,0.0,0.0,0.9400921658986175,0.9163439152397552,,,,0.0,0.4581719576198776,0.05489617925399455,5.1676404768446655,62.53199344446893,5.1676404768446655
2018-01-01,2018-1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223,0.0,0.0,230.0,0.030434782608695653,0.0,0.0,0.0,0.9695652173913043,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,2018-2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170,1.0,0.0058823529411764705,174.0,0.022988505747126436,0.0,0.0,0.0,0.9770114942528736,0.0,,,,0.7030960126657411,0.35154800633287053,0.686932885937793,64.66428510121774,47.97979723949273,64.66428510121774
2018-03-01,2018-3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164,0.0,0.0,168.0,0.023809523809523808,0.0,0.0,0.0,0.9761904761904762,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,2018-4,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147,0.0,0.0,156.0,0.04487179487179487,0.01282051282051282,0.0,0.0,0.9423076923076923,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,2018-5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190,1.0,0.005263157894736842,194.0,0.020618556701030927,0.0,0.0,0.0,0.979381443298969,0.0,,,,0.6290859060693473,0.31454295303467367,0.6161150626452371,57.997863956762316,42.92929226691455,57.997863956762316
2018-06-01,2018-6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208,1.0,0.004807692307692308,215.0,0.03255813953488372,0.0,0.0,0.0,0.9674418604651163,0.0,,,,0.5746457795825769,0.28732288979128845,0.5559363821077953,52.332956314473904,39.21425735920079,52.332956314473904
2018-07-01,2018-7,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172,0.0,0.0,188.0,0.0851063829787234,0.0,0.0,0.0,0.9148936170212766,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,2018-8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192,3.0,0.015625,198.0,0.030303030303030304,0.0,0.0,0.0,0.9696969696969697,0.0,,,,1.8675987836433747,0.9337993918216874,1.8110048811087271,170.47856981230134,127.44633641740256,170.47856981230134
2018-09-01,2018-9,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276,4.0,0.014492753623188406,287.0,0.03832752613240418,0.0,0.0,0.0,0.9616724738675958,0.0,,,,1.732265538451826,0.866132769225913,1.6658720857585503,156.81652414790088,118.21109464802558,156.81652414790088
2018-10-01,2018-10,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248,1.0,0.004032258064516129,254.0,0.023622047244094488,0.0,0.0,0.0,0.9763779527559056,0.0,,,,0.4819609764240967,0.24098048821204834,0.4705760714691968,44.29758113233027,32.889377139974854,44.29758113233027
2018-11-01,2018-11,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218,2.0,0.009174311926605505,224.0,0.026785714285714284,0.0,0.0,0.0,0.9732142857142857,0.0,,,,1.0965717628731744,0.5482858814365872,1.0671993049390716,100.46058578224903,74.83087642856665,100.46058578224903
2018-12-01,2018-12,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271,1.0,0.0036900369003690036,276.0,0.018115942028985508,0.0,0.0,0.0,0.9818840579710145,0.0,,,,0.4410565393106125,0.22052826965530625,0.4330663846129565,40.76661452033293,30.098027788611677,40.76661452033293
2019-01-01,2019-1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281,1.0,0.0035587188612099642,286.0,0.017482517482517484,0.0,0.0,0.0,0.9825174825174825,0.0,,,,0.42536057705756575,0.21268028852878287,0.41792420333278313,39.34120841822338,29.026923596846135,39.34120841822338
2019-02-01,2019-2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256,1.0,0.00390625,262.0,0.022900763358778626,0.0,0.0,0.0,0.9770992366412213,0.0,,,,0.4668996959108437,0.23344984795542184,0.4562073364625037,42.944983235159874,31.86158410435064,42.944983235159874
2019-03-01,2019-3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307,3.0,0.009771986970684038,313.0,0.019169329073482427,0.0,0.0,0.0,0.9808306709265175,0.0,,,,1.1680096627346186,0.5840048313673093,1.1456197011486515,107.8426735553855,79.70585209166543,107.8426735553855
2019-04-01,2019-4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211,1.0,0.004739336492890996,217.0,0.027649769585253458,0.0,0.0,0.0,0.9723502304147466,0.0,,,,0.5664754604415924,0.2832377302207962,0.550812544484682,51.850624919870455,38.65670867636855,51.850624919870455
2019-05-01,2019-5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265,2.0,0.007547169811320755,271.0,0.02214022140221402,0.0,0.0,0.0,0.977859778597786,0.0,,,,0.902085450212649,0.4510427251063245,0.882113078621225,83.03753215949733,61.55898513746237,83.03753215949733
2019-06-01,2019-6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231,3.0,0.012987012987012988,233.0,0.008583690987124463,0.0,0.0,0.0,0.9914163090128756,0.0,,,,1.5522898980931947,0.7761449490465974,1.538965521285528,144.87020095637627,105.92942247680215,144.87020095637627
2019-07-01,2019-7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226,3.0,0.01327433628318584,233.0,0.030042918454935622,0.0,0.0,0.0,0.9699570815450643,0.0,,,,1.5866325949536635,0.7933162974768317,1.5389655212855275,144.87020095637624,108.27299377053669,144.87020095637624
2019-08-01,2019-8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260,1.0,0.0038461538461538464,264.0,0.015151515151515152,0.0,0.0,0.0,0.9848484848484849,0.0,,,,0.45971662366606153,0.22985831183303077,0.45275122027718184,42.61964245307534,31.371405887360634,42.61964245307534
2019-09-01,2019-9,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234,3.0,0.01282051282051282,242.0,0.03305785123966942,0.0,0.0,0.0,0.9669421487603306,0.0,,,,1.5323887455535383,0.7661943727767692,1.4817312663616857,139.48246621006473,104.57135295786878,139.48246621006473
