date,ym,philippines_abc_au_solomon_islands_body_count,philippines_abc_au_solomon_islands_epu_count,philippines_abc_au_solomon_islands_ratio,philippines_asia_news_network_body_count,philippines_asia_news_network_epu_count,philippines_asia_news_network_ratio,philippines_philippine_star_body_count,philippines_philippine_star_epu_count,philippines_philippine_star_ratio,philippines_abante_body_count,philippines_abante_epu_count,philippines_abante_ratio,philippines_inquirer_body_count,philippines_inquirer_epu_count,philippines_inquirer_ratio,news_total,philippines_abc_au_solomon_islands_weights,philippines_asia_news_network_weights,philippines_philippine_star_weights,philippines_abante_weights,philippines_inquirer_weights,philippines_abc_au_solomon_islands_z_score,philippines_asia_news_network_z_score,philippines_philippine_star_z_score,philippines_abante_z_score,philippines_inquirer_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2017-08-01,2017-8,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225,1.0,0.0044444444444444444,244.0,0.0778688524590164,0.0,0.0,0.0,0.9221311475409836,0.0,,,,0.41536111459750313,0.20768055729875157,0.38301742124769755,28.667546610949536,23.543590024695472,28.667546610949536
2017-09-01,2017-9,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,1.0,0.003968253968253968,266.0,0.05263157894736842,0.0,0.0,0.0,0.9473684210526315,0.0,,,,0.37085813803348494,0.18542906901674247,0.3513392886633015,26.296546515307092,21.021062522049526,26.296546515307092
2017-10-01,2017-10,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206,3.0,0.014563106796116505,214.0,0.037383177570093455,0.0,0.0,0.0,0.9626168224299065,0.0,,,,1.3610133609384205,0.6805066804692103,1.3101343567911898,98.05908466922926,77.14525857606526,98.05908466922926
2017-11-01,2017-11,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140,2.0,0.014285714285714285,148.0,0.05405405405405406,0.0,0.0,0.0,0.9459459459459459,0.0,,,,1.3350892969205457,0.6675446484602728,1.2629223078978136,94.5254239604282,75.6758250793783,94.5254239604282
2017-12-01,2017-12,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204,3.0,0.014705882352941176,217.0,0.059907834101382486,0.0,0.0,0.0,0.9400921658986175,0.0,,,,1.3743566291829148,0.6871783145914574,1.2920219002456896,96.70342912080675,77.90158464053648,96.70342912080675
2018-01-01,2018-1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223,1.0,0.004484304932735426,230.0,0.030434782608695653,0.0,0.0,0.0,0.9695652173913043,0.0,,,,0.4190863263876153,0.20954316319380764,0.4063315251497313,30.412527709007332,23.754743298459555,30.412527709007332
2018-02-01,2018-2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170,2.0,0.011764705882352941,174.0,0.022988505747126436,0.0,0.0,0.0,0.9770114942528736,0.0,,,,1.0994853033463319,0.5497426516731659,1.0742097791314738,80.40093532266307,62.32126771242919,80.40093532266307
2018-03-01,2018-3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164,0.0,0.0,168.0,0.023809523809523808,0.0,0.0,0.0,0.9761904761904762,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,2018-4,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147,0.0,0.0,156.0,0.04487179487179487,0.01282051282051282,0.0,0.0,0.9423076923076923,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,2018-5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190,1.0,0.005263157894736842,194.0,0.020618556701030927,0.0,0.0,0.0,0.979381443298969,0.0,,,,0.4918750041286221,0.24593750206431106,0.4817332514661763,36.05608955191591,27.880567134507793,36.05608955191591
2018-06-01,2018-6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208,1.0,0.004807692307692308,215.0,0.03255813953488372,0.0,0.0,0.0,0.9674418604651163,0.0,,,,0.44930889800210677,0.22465444900105339,0.43468023620668933,32.53433196777529,25.4678257478677,32.53433196777529
2018-07-01,2018-7,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172,3.0,0.01744186046511628,188.0,0.0851063829787234,0.0,0.0,0.0,0.9148936170212766,0.0,,,,1.630050885775085,0.8150254428875425,1.4913231508155034,111.6204474426333,92.39490271319444,111.6204474426333
2018-08-01,2018-8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192,2.0,0.010416666666666666,198.0,0.030303030303030304,0.0,0.0,0.0,0.9696969696969697,0.0,,,,0.9735026123378979,0.48675130616894896,0.9440025331761435,70.65536740476452,55.18028912038001,70.65536740476452
2018-09-01,2018-9,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276,9.0,0.03260869565217391,287.0,0.03832752613240418,0.0,0.0,0.0,0.9616724738675958,0.0,,,,3.0474864386229847,1.5237432193114924,2.930683822508515,219.35168068865914,172.73829637684176,219.35168068865914
2018-10-01,2018-10,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248,3.0,0.012096774193548387,254.0,0.023622047244094488,0.0,0.0,0.0,0.9763779527559056,0.0,,,,1.1305191627149782,0.5652595813574891,1.103813985642971,82.61670913076796,64.08033575269937,82.61670913076796
2018-11-01,2018-11,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218,5.0,0.022935779816513763,224.0,0.026785714285714284,0.0,0.0,0.0,0.9732142857142857,0.0,,,,2.143491990468766,1.071745995234383,2.086077026438353,156.13574493463588,121.49788430175415,156.13574493463588
2018-12-01,2018-12,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271,1.0,0.0036900369003690036,276.0,0.018115942028985508,0.0,0.0,0.0,0.9818840579710145,0.0,,,,0.34485701396471663,0.17242850698235831,0.33860960429144277,25.343773090839445,19.54726109061432,25.343773090839445
2019-01-01,2019-1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281,4.0,0.014234875444839857,286.0,0.017482517482517484,0.0,0.0,0.0,0.9825174825174825,0.0,,,,1.330338089458195,0.6651690447290975,1.3070804305515833,97.83050871428932,75.4065160933307,97.83050871428932
2019-02-01,2019-2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256,1.0,0.00390625,262.0,0.022900763358778626,0.0,0.0,0.0,0.9770992366412213,0.0,,,,0.36506347962671176,0.18253173981335588,0.3567032472688481,26.698020507907202,20.692608420142506,26.698020507907202
2019-03-01,2019-3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307,5.0,0.016286644951140065,313.0,0.019169329073482427,0.0,0.0,0.0,0.9808306709265175,0.0,,,,1.5220887749908503,0.7610443874954251,1.492911354383997,111.73931905865315,86.27537061166908,111.73931905865315
2019-04-01,2019-4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211,1.0,0.004739336492890996,217.0,0.027649769585253458,0.0,0.0,0.0,0.9723502304147466,0.0,,,,0.44292061983146075,0.22146030991573037,0.43067396674856323,32.23447637360225,25.105723959983326,32.23447637360225
