,code,title,keywords
56,01.1.9.1,Ready-made food (ND),"prepared food and meals that either can be eaten as is or after heating but that do not require cooking, or are assembled and portioned in such a way that they can be cooked they may contain mixed ingredients and can be fresh, frozen, or dehydrated or instant they can include sauces and dressings which, especially when the food is fresh, may be provided in separate containers sometimes, disposable forks, knives, spoons or chopsticks are packed together with the food precooked dishes containing stuffed pasta, rice or other cereals, such as couscous, including vegetables, meat, fish, cheese or other ingredients and ready to eat dumplings, ravioli, noodles and similar dishes, including sauce ready made dishes and meals based on precooked meat, meat substitutes or fish tv dinners mixed salads and other prepared dishes and meals based on vegetables, pulses or potatoes and also including other ingredients, such as meat, fish and cheese sandwiches, pizzas, quiches, meat or fish pies, whether frozen or not omelettes, crepes and other food products based on eggs when precooked and served as a main dish ready made soups including dehydrated and instant soups and stews other prepared ready made dishes and meals, n e c meal kits"
57,01.1.9.2,Baby food (ND),"food and beverages intended for baby use exclusively baby formula powdered, condensed and evaporated milk for baby use baby rice cereals and flours for baby food homogenized baby food"
58,01.1.9.3,"Salt, condiments and sauces (ND)","salt, sauces, condiments, and seasonings including mustard, mayonnaise, ketchup, and soy sauce and vinegar coconut milk for cooking"
59,01.1.9.4,"Spices, culinary herbs and seeds (ND)","pepper, pimento, ginger and other spices parsley, rosemary, thyme and other culinary herbs poppy seed, sesame seed, linseed and other seeds"
60,01.1.9.9,Other food products n.e.c. (ND),"sugarcane consumed for the purpose of extracting juice or as a snack prepared baking powders and yeasts, broth, stocks, bouillon cubes, soup bases, agar agar and instant dessert preparations other ready made food and other food products"
61,01.2.1.0,Fruit and vegetable juices (ND),"fruit and vegetable juices, unfermented and not containing added alcohol, whether or not they contain added sugar or other sweetening matter syrups of fruit and vegetables and concentrates of fruit and vegetables powdered juices"
62,01.2.2.0,Coffee and coffee substitutes (ND),"coffee, whether or not decaffeinated, roasted or ground, including instant coffee coffee substitutes extracts, essences and concentrates of coffee coffee based beverage preparations roasted chicory and other roasted coffee substitutes and extracts, essences and concentrates thereof"
63,01.2.3.0,"Tea, maté and other plant-derived products for infusion (ND)","green tea, unfermented black tea, fermented and tea, mate and other plant products, partly fermented, for infusion tea substitutes and tea extracts and essences fruit and herbal teas rooibos tea instant tea iced tea"
64,01.2.4.0,Cocoa drinks (ND),cocoa and chocolate based drinks
65,01.2.5.0,Water (ND),"mineral and spring waters, still or sparkling, without added ingredients"
66,01.2.6.0,Soft drinks (ND),"soft drinks, such as sodas, lemonades and colas sparkling juices"
67,01.2.9.0,Other non-alcoholic beverages (ND),"flavoured water energy drinks energy supplements which are mixed with water for drink preparation and protein powder mixed with water for drink preparation birch juice and sap, and aloe vera juice and drinks syrups and concentrates for the preparation of beverages other non alcoholic beverages"
69,02.1.1.0,Spirits and liquors (ND),"eaux de vie, liqueurs and other spirits with a high alcohol content mead pomace brandies, such as pisco, grappa and marc aperitifs, other than wine based aperitifs"
70,02.1.2.1,Wine from grapes (ND),"wine from grapes fortified wines, such as vermouth, sherry and port wine champagne and other sparkling wines from grapes ice wine low alcohol and non alcoholic wine wine based aperitifs"
71,02.1.2.2,Wine from other sources (ND),"ciders and perries, including sake"
72,02.1.3.0,Beer (ND),"all kinds of beers, such as ale, lager, stout and porter low alcohol beer and non alcoholic beer"
73,02.1.9.0,Other alcoholic beverages (ND),"mixed alcohol based drinks, such as soda water and mineral water based mixed alcoholic drinks alcopops shandy, cola beer and radler"
75,02.3.0.1,Cigarettes (ND),"cigarettes cigarettes that are purchased in bars and restaurants, provided that a service charge is not applied"
76,02.3.0.2,Cigars (ND),"includes cigars cigars that are purchased in bars and restaurants, provided that a service charge is not applied"
77,02.3.0.9,Other tobacco products (ND),"pipe tobacco, chewing tobacco, hookah blends, snus and snuff cigarette tobacco and tobacco leaf cigarette papers and single use filters which are consumed with the cigarette refills for electronic cigarettes, with or without nicotine tobacco that is consumed with a shisha or a hookah pipe if consumed at home"
78,02.4.0.0,Narcotics (ND),"marijuana, opium, cocaine and their derivatives other vegetable based narcotics, such as betel leaves, betel nuts, cola nuts, kava, khat, and psilocybin mushroom other narcotics, including chemicals and synthetic drugs"
79,03.1.1.0,Clothing materials (SD),"clothing materials of natural, synthetic and mixed fibres leather, fur, fusible webbing, wadding and felt filling for making wearing apparel"
80,03.1.2.1,Garments for men or boys (SD),"garments for men or boys, either ready to wear or made to measure, in all materials including leather, furs, plastics and rubber , for everyday wear, for sport or for work capes, overcoats, raincoats, anoraks, parkas, jackets, trousers, waistcoats, suits, costumes, etc shirts, pullovers, sweaters, cardigans, shorts, swimsuits, tracksuits, jogging suits, sweatshirts, t shirts, leotards, etc traditional garments vests, underpants, socks, etc pyjamas, dressing gowns, bathrobes, etc"
