,code,title,keywords
120,09.7.4,Stationery and drawing materials (ND),"writing pads, envelopes, account books, diaries and so on postcards, envelopes and other postal matter, not pre franked drawing paper educational materials, such as exercise books wrapping paper pens, pencils, fountain pens, ballpoint pens, felt tip pens, inks, erasers, pencil sharpeners and so on stencils, carbon paper, inking pads, correcting fluids and so on paper punches, paper cutters, paper scissors, office glues and adhesives, staplers and staples, paper clips, drawing pins and so on drawing and painting materials, such as canvas, card, paints, crayons, pastels and brushes slide rules, geometry instruments, slates, chalks and pencil boxes"
138,13.1.1,Electric appliances for personal care (SD),"electric razors, hair trimmers and epilators, hand held and hood hairdryers, straightening irons, curling tongs and styling combs, sunlamps, vibrators, electric toothbrushes and other electric appliances for dental hygiene and so on repair of electric appliances for personal care"
139,13.1.2,"Other appliances, articles and products for personal care (ND)","non electric appliances shavers, razors and hair trimmers and blades therefor, scissors, nail files, combs, shaving brushes, hairbrushes, toothbrushes, nail brushes, hairpins, curlers, personal weighing machines, scales and so on articles for personal hygiene toilet soap, medicinal soap, cleansing oil and milk, shaving soap, shaving cream and foam, toothpaste, epilation wax, paper handkerchiefs and so on beauty products lipstick, nail varnish, make up and make up removal products including powder compacts, brushes and powder puffs , hair lacquers and lotions, pre shave and after shave products, sunbathing products and sunscreens, hair removers, perfumes and toilet waters, personal deodorants, bath products and so on"
141,13.2.1,Jewellery and watches (D),"precious stones and metals and jewellery fashioned out of such stones and metals costume jewellery, cuff links and tiepins watches and stopwatches repair, remodelling and hire of jewellery and watches"
142,13.2.2,Devotional articles and articles for religious and ritual celebrations (SD),"religious and ritual articles, such as crucifixes and rosaries, figurines, pictures, votive candles, amulets, strips of paper with prayers, menorah chandeliers, advent wreaths and others articles to be used in religious celebrations and rituals"
143,13.2.9,Other personal effects n.e.c. (SD),"travel goods and other carriers of personal effects suitcases, trunks, travel bags, attache cases, satchels, handbags, wallets, purses, backpacks for school and travel and so on articles for babies diapers nappies of any material, baby carriages, pushchairs strollers, carrycots, recliners, back carriers, front carriers, harnesses for babies and so on articles for smokers pipes, lighters, cigarette cases, cigar cutters, ashtrays, electronic cigarette devices and so on miscellaneous personal articles non corrective sunglasses, protective glasses, umbrellas and parasols, fans, key rings, pill organizers, ear plugs and so on funerary articles coffins, gravestones, urns, burial shrouds, and so on lighter fuel wall thermometers and barometers repair and hire of other personal effects"
147,14.2.1,Pharmaceutical products (ND),the same function is covered under copni class this class corresponds to coicop classes and
148,14.2.2,Other medical products (ND),the same function is covered under copni class this class corresponds to coicop classes and
149,14.2.3,Therapeutic appliances and equipment (D),the same function is covered under copni class this class corresponds to coicop classes and
169,15.2.1,Pharmaceutical products (ND),the same function is covered under cofog class this class corresponds to coicop classes and
170,15.2.2,Other medical products (ND),the same function is covered under cofog class this class corresponds to coicop classes and
171,15.2.3,Therapeutic appliances and equipment (D),the same function is covered under cofog class this class corresponds to coicop classes and
