code,title,keywords
06.2.1,Preventive care services (S),"preventive services aim at preventing illnesses and diseases, and detecting the presence of diseases e g , through screening the main distinction between preventive services and other outpatient services rests upon the fact that preventive services are administered before symptoms appear immunization and vaccination services family planning and counselling healthy condition monitoring services e g , prenatal and postnatal care services general and routine check ups other than dental check ups check ups related to child growth and development early disease detection services, administered before the appearance of symptoms including screening, diagnostic tests and medical examinations focused on detection of communicable and non communicable diseases diagnostic imaging services and medical laboratory services needed for the provision of preventive services when those imaging and laboratory services are priced jointly with the time and skills of personnel associated with the delivery of those preventive services"
06.2.2,Outpatient dental services (S),"services of dentists, dental practitioners, dental surgeons and endodontists, maxillofacial and oral surgeons, oral pathologists, orthodontists, pedodontists, periodontists, prosthodontists, and oral hygienists and other dental auxiliaries that do not require an overnight stay aesthetic dentistry services"
06.2.3,Other outpatient care services (S),"class includes all medical services, other than preventive and dental services, that do not require an overnight stay and are aimed at relieving symptoms of illnesses, diseases and injuries reducing the severity of illnesses, diseases and injuries protecting against exacerbation or complications of illnesses, diseases and injuries restoring health status or preventing the deterioration of a health condition or maintaining the level of health that is available the admissions criteria and the type of provider, as well as the setting within which these curative and rehabilitative services and outpatient long term care services are provided, are irrelevant as long as no overnight care is administered services provided at a hospital or in a hospital which do not entail an overnight stay excluding preventive care services and outpatient dental services medical day care services, that is, services delivered in a hospital setting sometimes in a medical day care centre to a patient who has been formally admitted, as long as those services do not involve an overnight stay home based hospital treatment e g , dialysis medical services delivered at home e g , palliative care medical and nursing services provided to maintain persons in their own home, including the elderly and persons with disabilities nursing care delivered at home, including care aimed at retarding or reducing deterioration, maintaining functionality e g , through nasogastric feeding or managing chronic diseases services delivered in an individual consulting facility e g , a private office or in a group consulting facility excluding preventive care services and outpatient dental services by any type of provider doctor, nurse, specialist or another type of health care practitioner medical services delivered on the street e g , to homeless people as well as any other outpatient services delivered outside a hospital setting all health products e g , assistive, medical, pharmaceutical and therapeutic , diagnostic imaging services and medical laboratory services needed to deliver outpatient services not priced separately from the services of the provider specialist, physician, nurse or another type of health care practitioner"
06.3.1,Inpatient curative and rehabilitative services (S),"this category comprises inpatient curative, dental and rehabilitative care that requires an overnight stay the principal purpose of the inpatient curative care administered during the overnight stay is to relieve the symptoms of an illness, disease or injury, to reduce its severity or to protect against the exacerbation or the complications that could be life threatening or a threat to normal functioning inpatient rehabilitation services that require an overnight stay are provided so that optimal functioning can be achieved and maintained curative and rehabilitative services provided for treatment and or care including dental treatment and or care that requires an overnight stay, as delivered by all types of providers e g , hospitals, nursing care facilities and facilities that, while classified as ambulatory care providers, occasionally perform procedures requiring overnight accommodation alcohol and drug rehabilitation facilities other than licensed hospitals mental health convalescent homes and hospitals and other types of health facilities located within an establishment that accommodates patients who require an overnight stay all medical services required to deliver inpatient care during an overnight stay even if separately priced e g , laboratory tests, diagnostic imaging services medicines and health products medical, assistive needed in the delivery of inpatient services during the overnight stay, even if separately priced from the inpatient care services patient accommodation services including meal service and cleaning, even if separately priced from the inpatient care services and the hosting of the patient s relatives, if indispensable, also if separately priced beauty treatments performed in a hospital e g , cosmetic surgery, other than reconstructive"
06.3.2,Inpatient long-term care services (S),"this category comprises long term care services that require an overnight stay the aim of inpatient long term care services is not to cure an illness or rehabilitate an individual, but rather to prevent deterioration of the individual s health condition and to thereby maintain it at a level available specific medical and nursing services are inherent contributors to this type of status quo individuals who receive inpatient long term care include elderly persons whose capacity to perform daily activities is limited, physically disabled household members and persons with chronic conditions services provided by medical convalescent homes and convalescent hospitals homes for the elderly offering nursing care inpatient care hospices services of palliative care facilities for the terminally ill services of nursing homes rest homes offering nursing care services of skilled nursing facilities services of teaching nursing homes services of residential mental retardation facilities and mental health and substance abuse facilities for chronic patients e g , those with dementia services of medical retirement homes for the elderly and medical residences for persons with disabilities all medical services needed for the delivery of inpatient care services during an overnight stay e g , laboratory tests, diagnostic imaging services medicines and health products medical, assistive needed in the delivery of inpatient services during an overnight stay patient accommodation services including meal service and cleaning, even if separately priced from the impatient long term care services and services associated with the hosting of a patient s relatives, if indispensable, during the patient s overnight stay, also if separately priced"
06.4.1,Diagnostic imaging services and medical laboratory services (S),"services provided by medical analysis laboratories e g , blood and urine testing diagnostic imaging services for patient diagnosis and monitoring, including all diagnostic imaging methods e g , computed tomography ct , magnetic resonance imaging mri , sonography and x rays and radiation"
06.4.2,Patient emergency transportation and emergency rescue services (S),"ambulance services for individuals, with or without emergency rescue medical emergency transportation by airplane or other types of vehicles, whether or not they have been specially adapted for medical purposes medical transport services memberships"
07.1.1,Motor cars (D),"motor cars, passenger vans, station wagons, estate cars, sport utility vehicles suvs , off road vehicles, pickup trucks and the like, with either two or four wheel drive racing motor vehicles and vehicles for shows"
07.1.2,Motorcycles (D),"motorcycles of all types including those with electric motors motor scooters, mopeds and motorized bicycles with combustion engines sidecars used or second hand motorcycles snowmobiles"
07.1.3,Bicycles (D),"bicycles, tricycles and other cycles cycle rickshaws electric bicycles e bikes and pedelecs electric kick scooters"
07.1.4,Animal-drawn vehicles (D),"animal drawn vehicles animals used to draw vehicles and related equipment e g , yokes, collars, harnesses, bridles, reins"
07.2.1,Parts and accessories for personal transport equipment (SD),"tyres new, used or retreaded , inner tubes, spark plugs, batteries, shock absorbers, filters, pumps and other replacement parts or accessories for personal transport equipment hubcaps, if purchased separately snow chains, roof racks, cargo roof boxes car, motorcycle and bicycle seats for babies and children crash helmets for use by bicyclists and motorcyclists fire extinguishers for transport equipment products used specifically for the cleaning and maintenance of transport equipment, such as paints, chrome cleaners, sealing compounds and bodywork polishes covers for motor cars, motorcycles and so on dash cameras chargers for electric vehicles crash helmets equipped with cameras"
07.2.2,Fuels and lubricants for personal transport equipment (ND),"petrol and other fuels, such as diesel, liquefied petroleum gas lpg , alcohol and two stroke mixtures lubricants, brake and transmission fluids, coolants and additives electricity used as fuel for personal transport when priced separately from other electricity hydrogen fuel and lubricants for major tools and equipment covered under class and recreational vehicles covered under class"
07.2.3,Maintenance and repair of personal transport equipment (S),"the cost of materials is included only if the materials are not separately priced services purchased for the maintenance and repair of personal transport equipment, such as fitting of parts and accessories, tyre changing, wheel balancing, breakdown services, oil changes, greasing and washing installation of car cameras locksmith services for cars"
07.2.4,Other services related to personal transport equipment (S),"rental of a parking space or a garage that provides parking but not in connection with a dwelling rental of municipal street parking spaces parking meters, regardless of form of payment e g , attendant or through parking meter charges for the rental of parking spaces in parking garages including valet service , such as those located in shopping centres, for a few hours or less parking permits valid for designated areas e g , residential parking permits bridge tolls, tunnel tolls, motorway tolls and so on charges for rental or purchase of electronic tags and toll devices driving lessons, driving tests and driving licences roadworthiness tests and emissions control tests rental of personal transport equipment without driver s"
07.3.1,Passenger transport by railway (S),"transport of persons and accompanied luggage by train, high speed train, maglev, light railway light rail , tram and underground transport of accompanied private vehicles"
07.3.2,Passenger transport by road (S),"transport of persons and accompanied luggage by bus, trolleybus, and coach transport of persons and accompanied luggage by share taxi, a vehicle for hire that may be characterized as a cross between a taxicab and a bus this mode of transport is often utilized in developing countries share taxis are typically smaller in size than buses, ranging from four seat cars to minibuses, and are often owner operated they usually operate without a timetable along a fixed or semi fixed route and may stop anywhere along that route to pick up or drop off passengers transport of persons and accompanied luggage by taxi and hired vehicle, with driver transport of persons and accompanied luggage on the basis of private arrangements, such as carpooling and ride sharing local school bus charter services, with driver inter urban and intercity school bus charter services operating by schedule transport of pupils by school bus between their homes and school and between schools, including in rural areas transport of persons and accompanied luggage by animal drawn vehicles, with driver tuk tuks, auto and cycle rickshaws and motorcycles serving as taxis"
07.3.3,Passenger transport by air (S),transport of persons and accompanied luggage by aeroplane and helicopter passenger transport by drone and multi copter
07.3.4,Passenger transport by sea and inland waterway (S),"transport of persons and accompanied luggage by ship, boat, ferry, hovercraft and hydrofoil transport of accompanied private vehicles water taxis"
07.3.5,Combined passenger transport (S),"transport of persons and accompanied luggage via two or more modes of transport when the expenditure cannot be apportioned between them multiple modes of transport e g , bus, tram, subway, ferry as covered by one ticket transport of accompanied private vehicles as covered, e g , by a ticket for a combined train and ferry trip"
07.3.6,Other passenger transport services (S),"funicular, elevator, cable car and chairlift transport services of porters, left luggage offices related to storage of travellers luggage for a limited period of time and luggage forwarding offices travel agents commissions, if priced separately transporter bridges and transport elevators including incline elevators"
07.4.1,Postal and courier services (S),"new postage stamps and pre franked postal matter e g , pre franked postcards, envelopes letter courier services parcel delivery services incoming and outgoing parcels sent and parcel home delivery parcel delivery services for goods purchased online small parcel courier services mailbox rentals"
07.4.9,Other transport of goods (S),"removal and storage services, including of furniture delivery services for goods e g , furniture and groceries , if separately priced local delivery of purchased items, such as takeout meals and prescription drugs delivery services generally provided immediately after the purchase of an item or scheduled shortly thereafter"
08.1.1,Fixed telephone equipment (D),"telephones, telefax and telephone answering machines, and telephone loudspeakers"
08.1.2,Mobile telephone equipment (D),"mobile telephone handsets, including multifunctional devices smartphones"
08.1.3,Information processing equipment (D),"personal computers, printers, photocopiers, scanners, monitors, projectors, augmented reality and virtual reality head mounts, modems, routers, network switches, keyboards, mice and digitizers tablets calculators, including pocket calculators toner and ink cartridges, laser printer drums and typewriter ribbons typewriters and word processors telefax and telephone answering facilities of personal computers d printers"
08.1.4,"Equipment for the reception, recording and reproduction of sound and vision (D)","television sets, video cassette players and recorders, digital video recorders dvrs , dvd players, blu ray players, streaming boxes and television aerials of all types radio receivers radio sets, digital radio sets, internet radio sets, satellite radio sets, car radios, radio clocks, two way radios, walkie talkies, and amateur radio receivers and transmitters portable and non portable cd players portable and non portable sound players stereo equipment and cd radio cassette recorders turntables, tuners, amplifiers, cassette decks, microphones and speakers, disc jockey dj equipment and karaoke systems audio and video systems for cars set top boxes, satellite receivers, internet protocol television receivers and television converter boxes digital media players headphones, earplugs and wireless, including bluetooth headsets"
08.1.5,Unrecorded recording media (SD),"compact discs recordable cd r and rewritable cd rw dvds recordable dvd r and rewritable dvd rw blu ray discs recordable bd r and recordable erasable bd re video cassettes audiotapes, audio cassettes and digital audiotapes dat external hard drives, solid state drives and network attached storage nas usb keys and usb flash drives secure digital sd cards, compactflash cf cards and so on magnetic data tapes other magnetic recording media other optical recording media other recording media phase change recording media, holographic recording media, molecular recording media, etc"
08.1.9,Other information and communication equipment and accessories (D),"baby monitors smartwatches fitness trackers and other wearable devices e g , smartglasses that, in general, cannot work without a smartphone or tablet connection e book readers chargers, batteries, cables, power banks, docking stations, covers, cases, cradles and mounts computer components, for example, processors, internal hard drives, solid state drives, motherboards, memory, dvd drives, hard drives"
08.2.0,"Software, excluding games (S)","computer software packages, comprising, for example, operating systems, applications and programming languages software subscriptions and use of online software"
08.3.1,Fixed communication services (S),"installation and subscription costs of personal telephone equipment telephone calls made from a private line or from a public line public telephone box, post office cabin, etc local, regional, national and international calls telephone calls from hotels, cafes, restaurants and the like"
08.3.2,Mobile communication services (S),"local, regional, national and international calls, including voice and video calls subscription fees for messaging services, including voice, text sms , multimedia content mms and so on additional calling features, such as voice mail and call display, whether separately priced from or bundled with mobile service mobile telephone voice and messaging plans that include limited data mobile telephone voice, text and data plans other mobile telephone services n e c costs of telephone equipment if included in subscription costs mobile telephones included in a prepaid or post paid package, generally tied to a specific operator for a certain period of time, if not separately priced"
