date,ym,french_polynesia_tahiti_infos_body_count,french_polynesia_tahiti_infos_epu_count,french_polynesia_tahiti_infos_ratio,news_total,french_polynesia_tahiti_infos_weights,french_polynesia_tahiti_infos_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
2023-12-01,2023-12,167,1.0,0.005988023952095809,167,1.0,0.865621608052109,0.865621608052109,0.865621608052109,50.00299708072282,50.00299708072282
2024-01-01,2024-1,219,8.0,0.0365296803652968,219,1.0,5.280687070126107,5.280687070126107,5.280687070126107,305.0411146111675,305.0411146111675
2024-02-01,2024-2,177,5.0,0.02824858757062147,177,1.0,4.083582162279723,4.083582162279723,4.083582162279723,235.8898449853308,235.8898449853308
2024-03-01,2024-3,172,0.0,0.0,172,1.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,2024-4,220,3.0,0.013636363636363636,220,1.0,1.9712564801550296,1.9712564801550296,1.9712564801550296,113.87046153382785,113.87046153382785
2024-05-01,2024-5,192,3.0,0.015625,192,1.0,2.2587313835109715,2.2587313835109715,2.2587313835109715,130.47657050751107,130.47657050751107
2024-06-01,2024-6,197,1.0,0.005076142131979695,197,1.0,0.7338010586025491,0.7338010586025491,0.7338010586025491,42.38832747452136,42.38832747452136
2024-07-01,2024-7,205,4.0,0.01951219512195122,205,1.0,2.820659678921018,2.820659678921018,2.820659678921018,162.93659536547725,162.93659536547725
2024-08-01,2024-8,196,3.0,0.015306122448979591,196,1.0,2.212634824663809,2.212634824663809,2.212634824663809,127.81378335429658,127.81378335429658
2024-09-01,2024-9,202,3.0,0.01485148514851485,202,1.0,2.1469129981886463,2.1469129981886463,2.1469129981886463,124.01733434377292,124.01733434377292
2024-10-01,2024-10,254,9.0,0.03543307086614173,254,1.0,5.122162507489447,5.122162507489447,5.122162507489447,295.88387642648183,295.88387642648183
2024-11-01,2024-11,202,1.0,0.0049504950495049506,202,1.0,0.7156376660628821,0.7156376660628821,0.7156376660628821,41.33911144792431,41.33911144792431
2024-12-01,2024-12,189,3.0,0.015873015873015872,189,1.0,2.2945842626143205,2.2945842626143205,2.2945842626143205,132.5476271822335,132.5476271822335
2025-01-01,2025-1,181,6.0,0.03314917127071823,181,1.0,4.792004703139299,4.792004703139299,4.792004703139299,276.81217168444346,276.81217168444346
2025-02-01,2025-2,196,3.0,0.015306122448979591,196,1.0,2.212634824663809,2.212634824663809,2.212634824663809,127.81378335429658,127.81378335429658
2025-03-01,2025-3,238,4.0,0.01680672268907563,238,1.0,2.429559807473986,2.429559807473986,2.429559807473986,140.3445464282472,140.3445464282472
2025-04-01,2025-4,202,3.0,0.01485148514851485,202,1.0,2.1469129981886463,2.1469129981886463,2.1469129981886463,124.01733434377292,124.01733434377292
2025-05-01,2025-5,176,2.0,0.011363636363636364,176,1.0,1.6427137334625248,1.6427137334625248,1.6427137334625248,94.89205127818988,94.89205127818988
2025-06-01,2025-6,186,1.0,0.005376344086021506,186,1.0,0.7771978954016248,0.7771978954016248,0.7771978954016248,44.89516404559522,44.89516404559522
2025-07-01,2025-7,234,4.0,0.017094017094017096,234,1.0,2.4710907443538837,2.4710907443538837,2.4710907443538837,142.74359850394376,142.74359850394376
2025-08-01,2025-8,213,6.0,0.028169014084507043,213,1.0,4.072079113935273,4.072079113935273,4.072079113935273,235.22536654875242,235.22536654875242
2025-09-01,2025-9,235,4.0,0.01702127659574468,235,1.0,2.4605754645906757,2.4605754645906757,2.4605754645906757,142.13617893584188,142.13617893584188
2025-10-01,2025-10,288,8.0,0.027777777777777776,288,1.0,4.0155224595750605,4.0155224595750605,4.0155224595750605,231.9583475689086,231.9583475689086
2025-11-01,2025-11,197,1.0,0.005076142131979695,197,1.0,0.7338010586025491,0.7338010586025491,0.7338010586025491,42.38832747452136,42.38832747452136
2025-12-01,2025-12,184,4.0,0.021739130434782608,184,1.0,3.1425827944500475,3.1425827944500475,3.1425827944500475,181.53261983653718,181.53261983653718
